"time_index","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
78328,"Sp",0,1,2,4.6,8.4,62,6.0032,18,46,64
23138,"Sp",0,1,2,5.8,9.2,66,0,91,693,784
81990,"Sp",0,1,1,8.8,11.1,84,0,19,277,296
39203,"Sp",0,1,1,11.4,13.6,38,6.0032,13,58,71
51077,"Sp",0,1,1,10.7,13.3,72,0,40,113,153
84766,"Sp",0,1,1,9.7,11.8,65,7.0015,1,3,4
96799,"Sp",0,1,2,8.8,12.3,51,15.0013,289,463,752
74298,"Sp",0,1,2,7.8,10.3,69,12.998,1,2,3
74088,"Sp",0,1,3,9.3,13.3,80,0,4,8,12
8527,"Sp",0,1,2,9.3,11.6,66,0,129,250,379
5532,"Sp",0,1,1,8.6,10.2,57,22.0028,8,22,30
4208,"Sp",0,1,2,10.4,14.1,57,11.0014,3,29,32
71495,"Sp",0,1,2,6.6,10.6,95,0,17,58,75
71166,"Sp",0,1,1,5.4,9.9,56,6.0032,16,29,45
14812,"Sp",0,1,1,6.6,11.3,43,7.0015,1,8,9
45574,"Sp",0,0,2,7.5,10,81,11.0014,14,25,39
64361,"Sp",0,0,1,4.5,7.4,65,19.9995,16,54,70
96005,"Sp",0,0,1,6.1,7,33,16.9979,36,352,388
70429,"Sp",0,0,1,5.5,7.6,67,16.9979,6,24,30
2148,"Sp",0,0,1,6.1,9.3,48,23.9994,1,19,20
67211,"Sp",0,0,1,5.3,8.7,70,26.0027,1,11,12
93511,"Sp",0,0,1,4.6,7.3,81,30.0026,23,117,140
14046,"Sp",0,0,1,6.3,8.5,71,35.0008,6,38,44
93013,"Sp",0,0,1,6.7,8.8,43,30.0026,91,460,551
96047,"Sp",0,0,1,7.4,11.3,56,30.0026,0,3,3
43496,"Sp",0,0,1,7,10.2,46,22.0028,26,77,103
91750,"Sp",0,1,1,3.7,6.5,85,15.0013,2,3,5
37475,"Sp",0,1,2,6.3,8.3,83,16.9979,28,153,181
15336,"Sp",0,1,2,8.2,11,72,19.0012,4,791,795
72763,"Sp",0,1,2,6.8,8.3,50,15.0013,5,9,14
41207,"Sp",0,1,1,8.7,12.2,64,8.9981,10,24,34
38353,"Sp",0,1,1,6.8,9.9,74,11.0014,3,70,73
74465,"Sp",0,1,1,7.4,10.6,54,7.0015,3,7,10
67065,"Sp",0,1,2,5.3,7.9,97,8.9981,0,1,1
99581,"Sp",0,1,2,7.6,12.1,60,15.0013,230,650,880
94182,"Sp",0,1,1,4.6,5.9,70,8.9981,0,1,1
38035,"Sp",0,1,1,7.7,9.1,89,11.0014,3,13,16
60492,"Sp",0,1,1,7.4,9,50,11.0014,19,60,79
49893,"Sp",0,1,1,8.3,11.2,96,23.9994,3,19,22
16642,"Sp",0,1,1,8.9,12.5,64,27.9993,1,9,10
50701,"Sp",0,1,1,6.3,8.6,85,27.9993,1,40,41
63485,"Sp",0,1,1,4.9,6.6,87,19.9995,3,15,18
97015,"Sp",0,1,1,4.7,7.7,48,8.9981,65,178,243
94223,"Sp",0,1,1,5,8.1,59,22.0028,28,69,97
73853,"Sp",0,1,1,9.1,11,79,30.0026,3,22,25
78071,"Sp",0,1,1,9.7,12.3,55,26.0027,57,148,205
54931,"Sp",0,1,1,9.2,11.3,62,19.9995,0,20,20
38312,"Sp",0,1,1,11.4,14.2,96,23.9994,5,7,12
1196,"Sp",0,1,1,9.1,9.9,80,22.0028,3,12,15
50774,"Sp",0,1,1,6,8.3,57,15.0013,1,110,111
27211,"Sp",0,1,1,5,6.9,96,19.9995,10,31,41
82156,"Sp",0,1,1,4.3,6.2,71,12.998,14,56,70
60570,"Sp",0,1,1,3.9,5.6,49,8.9981,1,1,2
69921,"Sp",0,1,1,4.9,6.8,64,11.0014,7,46,53
42979,"Sp",0,1,1,7.8,12.2,74,26.0027,4,6,10
23339,"Sp",0,1,1,8.2,10.6,63,11.0014,78,319,397
18149,"Sp",0,1,1,9.2,12.4,72,0,26,74,100
44857,"Sp",0,1,1,6.1,8.3,49,6.0032,3,7,10
57843,"Sp",0,1,1,9.5,12.1,51,0,20,185,205
12262,"Sp",0,1,2,8.7,10.7,96,0,10,24,34
29318,"Sp",0,0,2,7,8.5,89,6.0032,9,74,83
96856,"Sp",0,0,1,5.1,7.3,74,0,1,3,4
32598,"Sp",0,0,1,9.3,12.9,52,8.9981,1,6,7
3989,"Sp",0,0,1,11.1,15,54,15.0013,1,6,7
55282,"Sp",0,0,1,11.3,12.2,51,19.9995,1,2,3
16001,"Sp",0,0,1,12.7,18.2,58,19.0012,40,142,182
80177,"Sp",0,0,2,14.7,18.1,54,12.998,6,34,40
47573,"Sp",0,0,2,10.7,15.1,59,16.9979,3,9,12
60954,"Sp",0,0,2,12.8,16.1,53,15.0013,1,1,2
99675,"Sp",0,0,1,11.7,15.2,74,8.9981,2,58,60
74374,"Sp",0,0,1,7.8,9.8,64,0,0,1,1
9317,"Sp",0,0,1,11.8,14.9,70,16.9979,28,73,101
69325,"Sp",0,0,1,9.3,11.5,66,15.0013,25,504,529
8669,"Sp",0,0,1,7.3,10.1,71,11.0014,20,90,110
16332,"Sp",1,0,2,9.8,11.5,21,15.0013,1,2,3
37590,"Sp",1,0,2,7.4,9.1,54,12.998,11,70,81
92054,"Sp",1,0,2,5.8,8.9,76,16.9979,4,19,23
22461,"Sp",1,0,2,7.4,10.9,68,8.9981,10,63,73
73831,"Sp",1,0,2,6.8,8.5,50,8.9981,100,188,288
96078,"Sp",1,0,2,8.8,12,63,11.0014,5,9,14
57697,"Sp",1,0,2,6.5,8.4,41,11.0014,71,3227,3298
6653,"Sp",0,1,2,9.7,13.4,32,15.0013,3,20,23
87092,"Sp",0,1,2,10.2,13.2,52,12.998,30,128,158
80015,"Sp",0,1,2,9.3,9.9,69,0,2,8,10
20578,"Sp",0,1,3,9.3,12.2,67,8.9981,1,1,2
88558,"Sp",0,1,2,10.6,12.9,75,7.0015,672,2104,2776
30849,"Sp",0,1,2,10.9,15,55,7.0015,12,240,252
11958,"Sp",0,1,2,13.6,18,46,6.0032,8,643,651
19600,"Sp",0,1,2,12.4,14.1,66,6.0032,1,25,26
84496,"Sp",0,1,1,17.2,20.8,69,26.0027,216,456,672
72128,"Sp",0,1,1,14.8,19,71,22.0028,64,98,162
43997,"Sp",0,1,1,14.4,19.1,54,19.9995,2,11,13
67665,"Sp",0,1,1,13.1,14.2,86,27.9993,0,38,38
37468,"Sp",0,1,2,6.2,8.1,84,0,8,16,24
21291,"Sp",0,1,3,6.1,8.4,57,0,0,2,2
39694,"Sp",0,1,2,7.7,8.7,84,0,27,61,88
1699,"Sp",0,1,2,9.6,13.8,59,6.0032,3,33,36
70796,"Sp",0,1,2,8.8,10.6,60,7.0015,24,41,65
13194,"Sp",0,1,2,8.7,10.4,56,8.9981,3,43,46
5851,"Sp",0,1,3,8.6,11.5,39,12.998,0,2,2
74808,"Sp",0,1,3,8.2,11.4,49,8.9981,3,5,8
10969,"Sp",0,1,3,10.8,14,96,15.0013,11,227,238
93497,"Sp",0,1,2,9.3,12.2,66,0,165,251,416
92432,"Sp",0,1,1,15.7,18.1,54,22.0028,96,204,300
60608,"Sp",0,1,1,16.6,19.3,61,35.0008,5,17,22
8296,"Sp",0,1,1,13.5,17.3,90,36.9974,269,1195,1464
83219,"Sp",0,1,1,11,13.5,86,32.9975,8,40,48
89032,"Sp",0,1,1,11,14.6,66,36.9974,161,913,1074
59871,"Sp",0,1,1,4.8,6.9,64,22.0028,5,37,42
89961,"Sp",0,1,1,7.1,10.7,26,19.9995,17,81,98
53569,"Sp",0,1,1,7.1,8,86,30.0026,2,110,112
74140,"Sp",0,1,1,9.5,10.8,73,23.9994,1,4,5
2911,"Sp",0,1,1,7.9,11.1,83,26.0027,0,12,12
72942,"Sp",0,1,1,8.5,10.1,62,7.0015,5,10,15
75619,"Sp",0,1,2,7.8,12.3,68,0,60,139,199
46207,"Sp",0,1,2,6.3,10,62,7.0015,1,3,4
48858,"Sp",0,1,2,8.4,10.9,89,8.9981,16,30,46
83701,"Sp",0,1,2,11.8,14.1,74,16.9979,21,85,106
93137,"Sp",0,1,2,9.3,13.9,95,8.9981,8,19,27
21862,"Sp",0,1,2,10.2,12.1,99,11.0014,79,613,692
54586,"Sp",0,1,2,8.2,12.9,60,11.0014,1,4,5
86649,"Sp",0,0,2,11.9,13.8,54,11.0014,1,2,3
49279,"Sp",0,0,3,9.3,13.6,69,8.9981,51,102,153
76586,"Sp",0,0,3,8,11.3,67,6.0032,2,5,7
22025,"Sp",0,0,3,7.9,12.5,68,11.0014,6,16,22
19590,"Sp",0,0,3,9.8,11.9,73,0,2,28,30
2998,"Sp",0,0,1,11.5,15,96,16.9979,12,171,183
57997,"Sp",0,0,1,11,14.5,85,15.0013,8,126,134
48746,"Sp",0,0,1,11.2,13.5,39,12.998,0,6,6
94481,"Sp",0,0,1,9.4,11.8,51,7.0015,0,32,32
12917,"Sp",0,0,1,11.8,14.7,100,16.9979,43,180,223
49995,"Sp",0,0,1,13.2,16,60,16.9979,30,48,78
7117,"Sp",0,0,1,11.4,14.3,66,11.0014,2,40,42
10180,"Sp",0,1,1,10,11.5,13,0,4,21,25
87180,"Sp",0,1,1,8.5,12.8,51,0,7,14,21
4250,"Sp",0,1,1,6.4,8.1,68,0,0,3,3
3405,"Sp",0,1,1,5.7,8.2,55,0,121,210,331
4779,"Sp",0,1,1,11.2,14.5,52,6.0032,21,36,57
90651,"Sp",0,1,2,13.6,17.2,59,0,12,21,33
32242,"Sp",0,1,2,13.9,18.8,42,6.0032,69,197,266
17412,"Sp",0,1,2,14.8,17,63,8.9981,66,755,821
12744,"Sp",0,1,2,12.9,15.3,98,0,40,273,313
5172,"Sp",0,1,2,11.7,14.9,34,0,4,5,9
23409,"Sp",0,1,2,11.4,15.1,93,0,11,20,31
8722,"Sp",0,1,2,11.5,15.3,31,7.0015,19,43,62
83246,"Sp",0,1,1,8.5,9.9,52,32.9975,19,173,192
56671,"Sp",0,1,1,9.3,11.3,76,31.0009,6,35,41
98832,"Sp",0,1,1,8.8,9.3,87,32.9975,53,183,236
57085,"Sp",0,1,1,9,12.1,58,27.9993,52,336,388
43814,"Sp",0,1,1,10.1,11.9,44,35.0008,11,63,74
67363,"Sp",0,1,1,7.7,9.6,69,26.0027,61,442,503
4002,"Sp",0,1,1,2.8,5.3,61,23.9994,17,47,64
39677,"Sp",0,1,1,2.9,4.8,62,15.0013,1,3,4
83940,"Sp",0,1,1,3.7,7.8,73,19.0012,44,199,243
31037,"Sp",0,1,1,2.5,4.5,48,0,6,37,43
62496,"Sp",0,1,1,5.4,10.4,76,0,17,96,113
27322,"Sp",0,1,2,8.5,10.6,40,19.0012,14,84,98
84086,"Sp",0,1,2,8.2,10,65,16.9979,30,47,77
30068,"Sp",0,1,2,6.4,7.4,40,19.9995,145,3985,4130
18101,"Sp",0,1,3,7.3,9.2,82,16.9979,3,5,8
23811,"Sp",0,1,3,5.1,5.9,35,11.0014,1,5,6
37864,"Sp",0,1,2,5,7.2,68,11.0014,6,14,20
54540,"Sp",0,1,3,6.8,10.3,70,11.0014,2,30,32
93466,"Sp",0,1,3,4.4,7.6,86,8.9981,12,82,94
79274,"Sp",0,1,3,4.5,8,41,8.9981,1,7,8
4323,"Sp",0,1,1,7.9,9.7,94,26.0027,5,8,13
95252,"Sp",0,1,1,7.3,11.5,61,19.9995,69,135,204
86343,"Sp",0,1,1,8.3,11.7,39,19.0012,18,33,51
70618,"Sp",0,1,1,6.7,10.2,75,6.0032,31,145,176
37557,"Sp",0,1,1,5,6.9,47,7.0015,92,181,273
58396,"Sp",0,1,1,4.7,6,70,7.0015,8,38,46
48088,"Sp",0,1,1,4.7,7.5,72,6.0032,1,2,3
36625,"Sp",0,1,1,9.9,12.6,67,8.9981,6,54,60
8034,"Sp",0,1,1,8.3,11.3,67,8.9981,14,731,745
84574,"Sp",0,0,1,6.2,7.5,92,0,13,113,126
701,"Sp",0,0,1,6.7,9.7,84,0,1,7,8
71003,"Sp",0,0,1,8.9,11.3,49,16.9979,608,3572,4180
28784,"Sp",0,0,1,9.5,12.3,59,11.0014,137,254,391
82844,"Sp",0,0,1,10.2,12.8,53,6.0032,1,2,3
2214,"Sp",0,0,2,9.6,13.7,81,11.0014,7,19,26
37962,"Sp",0,0,2,10.3,13.6,26,15.0013,59,1003,1062
25614,"Sp",0,0,1,14.2,18.2,40,31.0009,76,536,612
13331,"Sp",0,0,2,15.9,18.5,58,27.9993,16,219,235
8449,"Sp",0,0,1,18.2,22.3,63,22.0028,22,467,489
32167,"Sp",0,0,1,16.2,18.8,44,19.9995,33,219,252
47458,"Sp",0,0,1,16.7,21.2,49,22.0028,19,311,330
36494,"Sp",0,1,1,17.3,21.2,86,23.9994,2,8,10
54630,"Sp",0,1,1,14,16.7,41,19.9995,1,2,3
20726,"Sp",0,1,1,13.9,17,78,19.9995,102,1938,2040
37780,"Sp",0,1,1,16.4,18.3,74,26.0027,125,238,363
67820,"Sp",0,1,1,23.3,26.6,64,30.0026,78,203,281
44851,"Sp",0,1,1,24.2,27.8,17,26.0027,7,20,27
21735,"Sp",0,1,1,15.8,18.4,81,40.9973,3,56,59
96761,"Sp",0,1,1,15.6,18,75,32.9975,0,50,50
78255,"Sp",0,1,1,15,19.5,75,31.0009,93,2492,2585
69411,"Sp",0,1,1,8.8,12.5,58,22.0028,61,216,277
31142,"Sp",0,1,1,9.3,12.9,61,23.9994,9,34,43
20452,"Sp",0,1,1,7.3,10.2,60,23.9994,84,210,294
30192,"Sp",0,1,1,14.6,15.4,72,15.0013,11,158,169
27229,"Sp",0,1,1,14.2,16.8,83,8.9981,39,78,117
95738,"Sp",0,1,1,8.2,11,71,0,13,22,35
3943,"Sp",0,1,1,8.4,10.7,66,15.0013,0,2,2
12272,"Sp",0,1,1,10.9,15.1,38,26.0027,1,2,3
55749,"Sp",0,1,1,15.9,19.7,59,23.9994,1,7,8
49199,"Sp",0,1,1,19.3,20,79,19.0012,12,277,289
71141,"Sp",0,1,1,15.9,18.6,91,15.0013,0,14,14
49129,"Sp",0,1,1,17.2,20,89,12.998,503,772,1275
47864,"Sp",0,1,1,13.8,17.6,89,12.998,62,235,297
30468,"Sp",0,1,1,13.4,16.9,97,12.998,0,3,3
77565,"Sp",0,1,1,12.8,15.4,78,12.998,0,2,2
48804,"Sp",0,1,1,12.4,14.2,54,6.0032,5,39,44
97500,"Sp",0,1,1,13.7,17.7,53,8.9981,17,87,104
71020,"Sp",0,1,1,14.5,16.9,68,7.0015,2,13,15
39814,"Sp",0,1,1,18.5,22.3,49,15.0013,3,15,18
80804,"Sp",0,1,2,24.4,27.3,49,19.9995,1,91,92
71952,"Sp",0,1,1,19.2,23.9,53,19.9995,37,77,114
17401,"Sp",0,1,1,17.2,20.8,61,19.0012,9,15,24
80619,"Sp",0,1,2,16.3,19.4,35,15.0013,2,15,17
3150,"Sp",0,1,2,17.5,21.6,64,12.998,84,367,451
68683,"Sp",0,1,1,25.3,29.2,63,19.9995,1,4,5
37261,"Sp",0,1,1,27,29.7,46,22.0028,222,586,808
33288,"Sp",0,0,1,19.8,22.6,94,32.9975,0,10,10
10129,"Sp",0,0,1,17.2,21.6,74,26.0027,11,26,37
18079,"Sp",0,0,1,17.2,22.3,74,43.9989,3,7,10
40213,"Sp",0,0,1,17.4,20,78,39.0007,111,218,329
6736,"Sp",0,0,1,17,19.2,60,40.9973,38,105,143
39146,"Sp",0,0,1,19.2,21.8,37,50.0021,1,3,4
14921,"Sp",0,0,1,11.9,14.6,85,30.0026,9,37,46
1775,"Sp",0,1,1,8.5,10.4,79,26.0027,0,5,5
87747,"Sp",0,1,1,8.2,11.7,85,19.0012,1,3,4
1995,"Sp",0,1,1,10,13.6,77,16.9979,4,18,22
79792,"Sp",0,1,1,12.8,15.3,73,8.9981,11,1095,1106
86900,"Sp",0,1,1,13.2,15.6,50,6.0032,0,2,2
21897,"Sp",0,1,1,13.5,15.6,43,8.9981,14,369,383
37085,"Sp",0,1,1,11.6,14.3,69,6.0032,63,397,460
21151,"Sp",0,1,1,8,11.7,52,0,12,363,375
85964,"Sp",0,1,1,9.4,12.9,95,19.0012,0,1,1
73500,"Sp",0,1,1,9.1,12.8,90,15.0013,17,32,49
30227,"Sp",0,1,1,9,10.2,70,16.9979,1,11,12
36443,"Sp",0,1,1,15,18.3,86,22.0028,50,79,129
49843,"Sp",0,1,1,16.6,21.5,64,12.998,13,58,71
89850,"Sp",0,1,1,21.2,23.9,38,19.9995,63,2063,2126
28416,"Sp",0,1,1,21.9,26.3,76,27.9993,42,222,264
13635,"Sp",0,1,1,16.3,19.3,84,35.0008,24,155,179
60430,"Sp",0,1,1,11.1,14.1,43,35.0008,10,37,47
92028,"Sp",0,1,1,11.4,13.7,89,31.0009,62,155,217
78405,"Sp",0,1,1,7.6,9.5,87,31.0009,1,2,3
62008,"Sp",0,1,1,4.8,7.2,25,19.9995,0,2,2
13134,"Sp",0,1,1,6.9,9.9,83,19.9995,45,105,150
90305,"Sp",0,1,1,7.3,10.7,26,6.0032,10,37,47
82513,"Sp",0,1,1,9.5,10,69,0,6,24,30
50732,"Sp",0,1,1,11.6,14.1,98,0,3,10,13
4008,"Sp",0,1,1,12.8,15.1,37,0,4,203,207
77206,"Sp",0,1,2,6.6,8.6,41,6.0032,1,8,9
72124,"Sp",0,1,2,6.5,9.6,69,12.998,0,1,1
85289,"Sp",0,1,2,8.1,12.2,41,16.9979,2,7,9
77070,"Sp",0,1,2,7.4,8.3,39,8.9981,11,20,31
55648,"Sp",0,1,1,10.4,12.1,52,15.0013,2,33,35
69341,"Sp",0,1,1,16,19.8,46,15.0013,65,507,572
54238,"Sp",0,1,1,12.8,14.3,85,16.9979,35,65,100
8477,"Sp",0,1,2,12.1,14.5,61,15.0013,0,3,3
70820,"Sp",0,0,2,11.4,13.3,72,7.0015,11,27,38
57664,"Sp",0,0,2,13,17,48,7.0015,2,7,9
52976,"Sp",0,0,2,13.3,16.1,53,15.0013,9,321,330
33318,"Sp",0,0,2,16.6,19.5,97,15.0013,234,417,651
67707,"Sp",0,0,2,18.3,22.9,51,19.0012,1,52,53
30806,"Sp",0,0,2,19.7,23,71,19.0012,17,38,55
9431,"Sp",0,0,2,20,22.5,55,19.9995,9,109,118
53037,"Sp",0,0,2,19.4,23.5,72,22.0028,3,9,12
47440,"Sp",0,0,2,18.7,20.9,69,22.0028,0,3,3
93332,"Sp",0,0,2,18.9,22.3,82,19.9995,59,107,166
41029,"Sp",0,0,3,14.7,18.5,65,19.0012,4,193,197
64328,"Sp",0,0,3,13.2,16.1,48,19.9995,18,28,46
44410,"Sp",0,0,2,10.2,14.4,71,27.9993,25,70,95
40245,"Sp",0,1,3,8.1,11.5,88,22.0028,27,127,154
86176,"Sp",0,1,1,7.6,10.2,63,39.0007,1,1,2
83579,"Sp",0,1,1,7.5,8.9,77,26.0027,250,561,811
91898,"Sp",0,1,1,13.9,18.4,85,27.9993,168,669,837
54427,"Sp",0,1,1,14.6,16.8,84,23.9994,19,63,82
87128,"Sp",0,1,1,12.8,16.7,60,23.9994,207,539,746
54704,"Sp",0,1,1,11.8,16.2,58,11.0014,6,18,24
35650,"Sp",0,1,1,12.4,17.6,92,0,3,19,22
74966,"Sp",0,1,1,8.9,13.6,33,6.0032,7,16,23
38466,"Sp",0,1,1,9.2,10.8,85,7.0015,4,17,21
55652,"Sp",0,1,2,16,19.6,99,0,36,66,102
17572,"Sp",0,1,1,13.5,16.7,60,12.998,1,3,4
9476,"Sp",0,1,1,13.4,17.6,72,7.0015,171,1274,1445
74818,"Sp",0,1,1,9.5,12.7,86,12.998,20,75,95
75258,"Sp",0,1,1,12.3,14.8,83,6.0032,15,32,47
47062,"Sp",0,1,2,11,13.2,64,8.9981,0,2,2
84258,"Sp",0,1,2,10.6,12.2,55,16.9979,332,580,912
73419,"Sp",0,1,2,13,16.3,21,16.9979,0,16,16
94565,"Sp",0,1,2,14.6,18.3,67,19.9995,12,67,79
40543,"Sp",0,1,2,14.4,19.8,57,19.9995,0,1,1
94892,"Sp",0,1,2,12.3,15.6,90,22.0028,46,300,346
39166,"Sp",0,1,2,14.6,14.9,90,12.998,1,41,42
25646,"Sp",0,1,2,11.8,16.3,79,22.0028,12,28,40
52555,"Sp",0,1,3,15.5,17.8,57,12.998,36,72,108
74315,"Sp",0,1,3,14.5,17.9,65,16.9979,1,2,3
82359,"Sp",0,1,3,16.4,21,58,15.0013,1,2,3
8127,"Sp",0,1,3,16.4,18.4,84,19.0012,0,157,157
74683,"Sp",0,1,3,15.1,17.9,83,11.0014,1,1,2
91238,"Sp",0,1,3,15,19.1,31,16.9979,0,12,12
62032,"Sp",0,1,3,15.9,19.7,86,22.0028,1,5,6
21982,"Sp",0,1,3,15,18.1,42,7.0015,9,173,182
49548,"Sp",0,1,3,14.8,16.5,92,7.0015,0,6,6
3546,"Sp",0,1,1,12.1,16.3,62,19.0012,0,16,16
750,"Sp",0,1,2,13.8,17.8,80,19.0012,0,299,299
67935,"Sp",0,1,2,13.5,17.2,61,19.9995,10,23,33
70697,"Sp",0,1,2,14.1,17.8,100,23.9994,13,289,302
22600,"Sp",0,1,2,14.6,17.4,53,16.9979,0,5,5
48687,"Sp",0,1,1,10.5,12.9,66,11.0014,7,80,87
8036,"Sp",0,1,2,13.3,17.6,62,16.9979,16,51,67
3997,"Sp",0,0,1,9.5,11.8,81,16.9979,6,12,18
58873,"Sp",0,0,1,12.7,15.7,70,7.0015,2140,3393,5533
59000,"Sp",0,0,1,14.4,18.4,82,23.9994,9,42,51
25155,"Sp",0,0,1,18.9,21.9,72,32.9975,10,30,40
94046,"Sp",0,0,1,16.1,19.6,63,11.0014,265,703,968
82076,"Sp",0,0,1,16.6,20.2,67,6.0032,25,74,99
66632,"Sp",0,0,1,16.3,18.9,81,7.0015,2,59,61
74655,"Sp",0,0,1,15.5,18.8,51,0,2,41,43
3402,"Sp",0,0,1,16.2,20.3,55,8.9981,4,43,47
29498,"Sp",0,0,1,12.3,14.1,43,11.0014,14,25,39
97322,"Sp",0,0,1,13.7,17.7,44,12.998,0,5,5
71220,"Sp",0,0,1,18.6,21.4,75,19.9995,115,215,330
56695,"Sp",0,0,1,20.2,24.4,79,22.0028,51,125,176
28862,"Sp",0,0,1,17.3,19.5,50,26.0027,24,39,63
85453,"Sp",0,0,1,17.5,20.5,99,23.9994,5,8,13
91881,"Sp",0,0,1,13,17.4,74,19.9995,6,134,140
20999,"Sp",0,1,1,10.7,13.1,59,6.0032,0,1,1
76085,"Sp",0,1,2,11.7,13.7,53,0,6,15,21
92337,"Sp",0,1,1,13.5,16.4,78,16.9979,37,665,702
74570,"Sp",0,1,1,15.3,19.5,31,0,1,47,48
92658,"Sp",0,1,1,16.5,19.2,65,22.0028,7,11,18
72042,"Sp",0,1,1,16.8,19.6,85,11.0014,33,102,135
89730,"Sp",0,1,1,16,21.4,72,12.998,156,427,583
35323,"Sp",0,1,1,13.3,15.3,73,8.9981,132,408,540
28148,"Sp",0,1,1,13.7,17.6,50,7.0015,10,460,470
79131,"Sp",0,1,1,8.7,10.4,65,12.998,1,6,7
32877,"Sp",0,1,1,10.7,14.5,45,6.0032,1,190,191
57129,"Sp",0,1,2,13.8,16.7,68,15.0013,0,19,19
80725,"Sp",0,1,2,14.2,17.6,33,19.0012,1,8,9
94888,"Sp",0,1,2,14.3,15.6,67,22.0028,434,789,1223
83178,"Sp",0,1,2,12,15.2,73,11.0014,3,16,19
77078,"Sp",0,1,3,13,16.5,46,16.9979,4,40,44
55940,"Sp",0,1,2,13,15.4,68,15.0013,1,1,2
90649,"Sp",0,1,2,11.9,14.2,73,7.0015,0,1,1
40793,"Sp",0,1,2,12.4,16.5,38,0,22,433,455
64246,"Sp",0,1,2,13.6,15.7,74,8.9981,16,29,45
66547,"Sp",0,1,2,17.1,20.4,36,8.9981,15,379,394
87873,"Sp",0,1,2,14.9,18.6,79,16.9979,181,643,824
7690,"Sp",0,1,2,17.8,21,53,19.0012,99,389,488
97327,"Sp",0,1,1,18.2,22.3,67,22.0028,44,124,168
85782,"Sp",0,1,1,20.1,23.9,82,15.0013,2890,5937,8827
33941,"Sp",0,1,2,20.5,23.1,57,11.0014,572,1117,1689
67742,"Sp",0,1,1,15.3,19.6,95,11.0014,6,69,75
73975,"Sp",0,1,1,16.6,21.3,17,12.998,41,82,123
12680,"Sp",0,1,1,18.4,22.7,91,15.0013,10,54,64
87117,"Sp",0,1,1,18.8,21.6,18,19.0012,5,70,75
51342,"Sp",0,1,1,20.4,23.3,78,19.0012,33,51,84
84474,"Sp",0,1,2,20.4,23.9,53,23.9994,48,116,164
86090,"Sp",0,1,1,25.2,28,96,8.9981,9,20,29
8816,"Sp",0,1,1,24.6,26.5,57,7.0015,7,13,20
24730,"Sp",0,0,2,20.7,23.3,73,15.0013,14,38,52
48659,"Sp",0,0,1,20.4,23.7,43,27.9993,1,1,2
64931,"Sp",0,0,1,17,19.5,53,27.9993,1,45,46
14150,"Sp",0,0,1,16.4,21.2,90,31.0009,31,68,99
15516,"Sp",0,0,1,19.5,22,51,30.0026,837,1268,2105
71625,"Sp",0,0,1,21,25,60,31.0009,200,1290,1490
