"Package","Dataset","Description"
"datasets","UScitiesD","Distances Between European Cities and Between US Cities"
"datasets","VADeaths","Death Rates in Virginia (1940)"
"datasets","WWWusage","Internet Usage per Minute"
"datasets","WorldPhones","The World's Telephones"
"datasets","ability.cov","Ability and Intelligence Tests"
"datasets","airmiles","Passenger Miles on Commercial US Airlines, 1937-1960"
"datasets","airquality","New York Air Quality Measurements"
"datasets","anscombe","Anscombe's Quartet of 'Identical' Simple Linear Regressions"
"datasets","attenu","The Joyner-Boore Attenuation Data"
"datasets","attitude","The Chatterjee-Price Attitude Data"
"datasets","austres","Quarterly Time Series of the Number of Australian Residents"
"datasets","beaver1 (beavers)","Body Temperature Series of Two Beavers"
"datasets","beaver2 (beavers)","Body Temperature Series of Two Beavers"
"datasets","cars","Speed and Stopping Distances of Cars"
"datasets","chickwts","Chicken Weights by Feed Type"
"datasets","co2","Mauna Loa Atmospheric CO2 Concentration"
"datasets","crimtab","Student's 3000 Criminals Data"
"datasets","discoveries","Yearly Numbers of Important Discoveries"
"datasets","esoph","Smoking, Alcohol and (O)esophageal Cancer"
"datasets","euro","Conversion Rates of Euro Currencies"
"datasets","euro.cross (euro)","Conversion Rates of Euro Currencies"
"datasets","eurodist","Distances Between European Cities and Between US Cities"
"datasets","faithful","Old Faithful Geyser Data"
"datasets","fdeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","freeny","Freeny's Revenue Data"
"datasets","freeny.x (freeny)","Freeny's Revenue Data"
"datasets","freeny.y (freeny)","Freeny's Revenue Data"
"datasets","infert","Infertility after Spontaneous and Induced Abortion"
"datasets","iris","Edgar Anderson's Iris Data"
"datasets","iris3","Edgar Anderson's Iris Data"
"datasets","islands","Areas of the World's Major Landmasses"
"datasets","ldeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","lh","Luteinizing Hormone in Blood Samples"
"datasets","longley","Longley's Economic Regression Data"
"datasets","lynx","Annual Canadian Lynx trappings 1821-1934"
"datasets","mdeaths (UKLungDeaths)","Monthly Deaths from Lung Diseases in the UK"
"datasets","morley","Michelson Speed of Light Data"
"datasets","mtcars","Motor Trend Car Road Tests"
"datasets","nhtemp","Average Yearly Temperatures in New Haven"
"datasets","nottem","Average Monthly Temperatures at Nottingham, 1920-1939"
"datasets","npk","Classical N, P, K Factorial Experiment"
"datasets","occupationalStatus","Occupational Status of Fathers and their Sons"
"datasets","precip","Annual Precipitation in US Cities"
"datasets","presidents","Quarterly Approval Ratings of US Presidents"
"datasets","pressure","Vapor Pressure of Mercury as a Function of Temperature"
"datasets","quakes","Locations of Earthquakes off Fiji"
"datasets","randu","Random Numbers from Congruential Generator RANDU"
"datasets","rivers","Lengths of Major North American Rivers"
"datasets","rock","Measurements on Petroleum Rock Samples"
"datasets","sleep","Student's Sleep Data"
"datasets","stack.loss (stackloss)","Brownlee's Stack Loss Plant Data"
"datasets","stack.x (stackloss)","Brownlee's Stack Loss Plant Data"
"datasets","stackloss","Brownlee's Stack Loss Plant Data"
"datasets","state.abb (state)","US State Facts and Figures"
"datasets","state.area (state)","US State Facts and Figures"
"datasets","state.center (state)","US State Facts and Figures"
"datasets","state.division (state)","US State Facts and Figures"
"datasets","state.name (state)","US State Facts and Figures"
"datasets","state.region (state)","US State Facts and Figures"
"datasets","state.x77 (state)","US State Facts and Figures"
"datasets","sunspot.month","Monthly Sunspot Data, from 1749 to ""Present"""
"datasets","sunspot.year","Yearly Sunspot Data, 1700-1988"
"datasets","sunspots","Monthly Sunspot Numbers, 1749-1983"
"datasets","swiss","Swiss Fertility and Socioeconomic Indicators (1888) Data"
"datasets","treering","Yearly Treering Data, -6000-1979"
"datasets","trees","Diameter, Height and Volume for Black Cherry Trees"
"datasets","uspop","Populations Recorded by the US Census"
"datasets","volcano","Topographic Information on Auckland's Maunga Whau Volcano"
"datasets","warpbreaks","The Number of Breaks in Yarn during Weaving"
"datasets","women","Average Heights and Weights for American Women"
"affy","SpikeIn","SpikeIn Experiment Data: ProbeSet Example"
"affy","cdfenv.example","Example cdfenv"
"affy","mapCdfName","Clean Affymetrix's CDF name"
"ape","HP.links","Test of host-parasite coevolution"
"ape","bird.families","Phylogeny of the Families of Birds From Sibley and Ahlquist"
"ape","bird.orders","Phylogeny of the Orders of Birds From Sibley and Ahlquist"
"ape","carnivora","Carnivora body sizes and life history traits"
"ape","chiroptera","Bat Phylogeny"
"ape","cynipids","NEXUS Data Example"
"ape","gopher.D","Test of host-parasite coevolution"
"ape","hivtree.newick","Phylogenetic Tree of 193 HIV-1 Sequences"
"ape","hivtree.table","Phylogenetic Tree of 193 HIV-1 Sequences"
"ape","lice.D","Test of host-parasite coevolution"
"ape","lmorigin.ex1","Multiple regression through the origin"
"ape","lmorigin.ex2","Multiple regression through the origin"
"ape","mat3","Three Matrices"
"ape","mat5M3ID","Five Trees"
"ape","mat5Mrand","Five Independent Trees"
"ape","woodmouse","Cytochrome b Gene Sequences of Woodmice"
"Biobase","SW","Class to Contain High-Throughput Assays and Experimental Metadata"
"Biobase","aaMap","Dataset: Names and Characteristics of Amino Acids"
"Biobase","geneCov","Sample expression matrix and phenotype data.frames."
"Biobase","geneCovariate","Sample expression matrix and phenotype data.frames."
"Biobase","geneData","Sample expression matrix and phenotype data.frames."
"Biobase","reporter","Example data.frame representing reporter information"
"Biobase","sample.ExpressionSet","Dataset of class 'ExpressionSet'"
"Biobase","sample.MultiSet","Data set of class 'MultiSet'"
"Biobase","seD","Sample expression matrix and phenotype data.frames."
"Biostrings","BLOSUM100","Scoring matrices"
"Biostrings","BLOSUM45","Scoring matrices"
"Biostrings","BLOSUM50","Scoring matrices"
"Biostrings","BLOSUM62","Scoring matrices"
"Biostrings","BLOSUM80","Scoring matrices"
"Biostrings","HNF4alpha","Known HNF4alpha binding sequences"
"Biostrings","PAM120","Scoring matrices"
"Biostrings","PAM250","Scoring matrices"
"Biostrings","PAM30","Scoring matrices"
"Biostrings","PAM40","Scoring matrices"
"Biostrings","PAM70","Scoring matrices"
"Biostrings","phiX174Phage","Versions of bacteriophage phiX174 complete genome and sample short reads"
"Biostrings","quPhiX174 (srPhiX174)","Versions of bacteriophage phiX174 complete genome and sample short reads"
"Biostrings","srPhiX174","Versions of bacteriophage phiX174 complete genome and sample short reads"
"Biostrings","wtPhiX174 (srPhiX174)","Versions of bacteriophage phiX174 complete genome and sample short reads"
"Biostrings","yeastSEQCHR1","An annotation data file for CHR1 in the yeastSEQ package"
"bit64","benchmark64.data","Results of performance measurement on a Core i7 Lenovo T410 8 GB RAM under Windows 7 64bit"
"bit64","optimizer64.data","Results of performance measurement on a Core i7 Lenovo T410 8 GB RAM under Windows 7 64bit"
"boot","acme","Monthly Excess Returns"
"boot","aids","Delay in AIDS Reporting in England and Wales"
"boot","aircondit","Failures of Air-conditioning Equipment"
"boot","aircondit7","Failures of Air-conditioning Equipment"
"boot","amis","Car Speeding and Warning Signs"
"boot","aml","Remission Times for Acute Myelogenous Leukaemia"
"boot","beaver","Beaver Body Temperature Data"
"boot","bigcity","Population of U.S. Cities"
"boot","brambles","Spatial Location of Bramble Canes"
"boot","breslow","Smoking Deaths Among Doctors"
"boot","calcium","Calcium Uptake Data"
"boot","cane","Sugar-cane Disease Data"
"boot","capability","Simulated Manufacturing Process Data"
"boot","catsM","Weight Data for Domestic Cats"
"boot","cav","Position of Muscle Caveolae"
"boot","cd4","CD4 Counts for HIV-Positive Patients"
"boot","cd4.nested","Nested Bootstrap of cd4 data"
"boot","channing","Channing House Data"
"boot","city","Population of U.S. Cities"
"boot","claridge","Genetic Links to Left-handedness"
"boot","cloth","Number of Flaws in Cloth"
"boot","co.transfer","Carbon Monoxide Transfer"
"boot","coal","Dates of Coal Mining Disasters"
"boot","darwin","Darwin's Plant Height Differences"
"boot","dogs","Cardiac Data for Domestic Dogs"
"boot","downs.bc","Incidence of Down's Syndrome in British Columbia"
"boot","ducks","Behavioral and Plumage Characteristics of Hybrid Ducks"
"boot","fir","Counts of Balsam-fir Seedlings"
"boot","frets","Head Dimensions in Brothers"
"boot","grav","Acceleration Due to Gravity"
"boot","gravity","Acceleration Due to Gravity"
"boot","hirose","Failure Time of PET Film"
"boot","islay","Jura Quartzite Azimuths on Islay"
"boot","manaus","Average Heights of the Rio Negro river at Manaus"
"boot","melanoma","Survival from Malignant Melanoma"
"boot","motor","Data from a Simulated Motorcycle Accident"
"boot","neuro","Neurophysiological Point Process Data"
"boot","nitrofen","Toxicity of Nitrofen in Aquatic Systems"
"boot","nodal","Nodal Involvement in Prostate Cancer"
"boot","nuclear","Nuclear Power Station Construction Data"
"boot","paulsen","Neurotransmission in Guinea Pig Brains"
"boot","poisons","Animal Survival Times"
"boot","polar","Pole Positions of New Caledonian Laterites"
"boot","remission","Cancer Remission and Cell Activity"
"boot","salinity","Water Salinity and River Discharge"
"boot","survival","Survival of Rats after Radiation Doses"
"boot","tau","Tau Particle Decay Modes"
"boot","tuna","Tuna Sighting Data"
"boot","urine","Urine Analysis Data"
"boot","wool","Australian Relative Wool Prices"
"BSDA","Abbey","Daily price returns (in pence) of Abbey National shares between 7/31/91 and 10/8/91"
"BSDA","Abc","Three samples to illustrate analysis of variance"
"BSDA","Abilene","Crimes reported in Abilene, Texas"
"BSDA","Ability","Perceived math ability for 13-year olds by gender"
"BSDA","Abortion","Abortion rate by region of country"
"BSDA","Absent","Number of absent days for 20 employees"
"BSDA","Achieve","Math achievement test scores by gender for 25 high school students"
"BSDA","Adsales","Number of ads versus number of sales for a retailer of satellite dishes"
"BSDA","Aggress","Agressive tendency scores for a group of teenage members of a street gang"
"BSDA","Aid","Monthly payments per person for families in the AFDC federal program"
"BSDA","Aids","Incubation times for 295 patients thought to be infected with HIV by a blood transfusion"
"BSDA","Airdisasters","Aircraft disasters in five different decades"
"BSDA","Airline","Percentage of on-time arrivals and number of complaints for 11 airlines"
"BSDA","Alcohol","Ages at which 14 female alcoholics began drinking"
"BSDA","Allergy","Allergy medicines by adverse events"
"BSDA","Anesthet","Recovery times for anesthetized patients"
"BSDA","Anxiety","Math test scores versus anxiety scores before the test"
"BSDA","Apolipop","Level of apolipoprotein B and number of cups of coffee consumed per day for 15 adult males"
"BSDA","Append","Median costs of an appendectomy at 20 hospitals in North Carolina"
"BSDA","Appendec","Median costs of appendectomies at three different types of North Carolina hospitals"
"BSDA","Aptitude","Aptitude test scores versus productivity in a factory"
"BSDA","Archaeo","Radiocarbon ages of observations taken from an archaeological site"
"BSDA","Arthriti","Time of relief for three treatments of arthritis"
"BSDA","Artifici","Durations of operation for 15 artificial heart transplants"
"BSDA","Asprin","Dissolving time versus level of impurities in aspirin tablets"
"BSDA","Asthmati","Asthmatic relief index on nine subjects given a drug and a placebo"
"BSDA","Attorney","Number of convictions reported by U.S. attorney's offices"
"BSDA","Autogear","Number of defective auto gears produced by two manufacturers"
"BSDA","Backtoback","Illustrates inferences based on pooled t-test versus Wilcoxon rank sum test"
"BSDA","Bbsalaries","Baseball salaries for members of five major league teams"
"BSDA","Bigten","Graduation rates for student athletes and nonathletes in the Big Ten Conf."
"BSDA","Biology","Test scores on first exam in biology class"
"BSDA","Birth","Live birth rates in 1990 and 1998 for all states"
"BSDA","Blackedu","Education level of blacks by gender"
"BSDA","Blood","Blood pressure of 15 adult males taken by machine and by an expert"
"BSDA","Board","Incomes of board members from three different universities"
"BSDA","Bones","Bone density measurements of 35 physically active and 35 non-active women"
"BSDA","Books","Number of books read and final spelling scores for 17 third graders"
"BSDA","Bookstor","Prices paid for used books at three different bookstores"
"BSDA","Brain","Brain weight versus body weight of 28 animals"
"BSDA","Bumpers","Repair costs of vehicles crashed into a barrier at 5 miles per hour"
"BSDA","Bus","Attendance of bus drivers versus shift"
"BSDA","Bypass","Median charges for coronary bypass at 17 hospitals in North Carolina"
"BSDA","Cabinets","Estimates of costs of kitchen cabinets by two suppliers on 20 prospective homes"
"BSDA","Cancer","Survival times of terminal cancer patients treated with vitamin C"
"BSDA","Carbon","Carbon monoxide level measured at three industrial sites"
"BSDA","Cat","Reading scores on the California achievement test for a group of 3rd graders"
"BSDA","Censored","Entry age and survival time of patients with small cell lung cancer under two different treatments"
"BSDA","Challeng","Temperatures and O-ring failures for the launches of the space shuttle Challenger"
"BSDA","Chemist","Starting salaries of 50 chemistry majors"
"BSDA","Chesapea","Surface salinity measurements taken offshore from Annapolis, Maryland in 1927"
"BSDA","Chevy","Insurance injury ratings of Chevrolet vehicles for 1990 and 1993 models"
"BSDA","Chicken","Weight gain of chickens fed three different rations"
"BSDA","Chipavg","Measurements of the thickness of the oxide layer of manufactured integrated circuits"
"BSDA","Chips","Four measurements on a first wafer and four measurements on a second wafer selected from 30 lots"
"BSDA","Cigar","Milligrams of tar in 25 cigarettes selected randomly from 4 different brands"
"BSDA","Cigarett","Effect of mother's smoking on birth weight of newborn"
"BSDA","Citrus","Percent of peak bone density of different aged children"
"BSDA","Clean","Residual contaminant following the use of three different cleansing agents"
"BSDA","Coaxial","Signal loss from three types of coxial cable"
"BSDA","Coffee","Productivity of workers with and without a coffee break"
"BSDA","Coins","Yearly returns on 12 investments"
"BSDA","Commute","Commuting times for selected cities in 1980 and 1990"
"BSDA","Concept","Tennessee self concept scale scores for a group of teenage boys"
"BSDA","Concrete","Compressive strength of concrete blocks made by two different methods"
"BSDA","Corn","Comparison of the yields of a new variety and a standard variety of corn planted on 12 plots of land"
"BSDA","Correlat","Exercise to illustrate correlation"
"BSDA","Counsel","Scores of 18 volunteers who participated in a counseling process"
"BSDA","Cpi","Consumer price index from 1979 to 1998"
"BSDA","Crime","Violent crime rates for the states in 1983 and 1993"
"BSDA","Darwin","Charles Darwin's study of cross-fertilized and self-fertilized plants"
"BSDA","Dealers","Automobile dealers classified according to type dealership and service rendered to customers"
"BSDA","Defectiv","Number of defective items produced by 20 employees"
"BSDA","Degree","Percent of bachelor's degrees awarded women in 1970 versus 1990"
"BSDA","Delay","Delay times on 20 flights from four major air carriers"
"BSDA","Depend","Number of dependent children for 50 families"
"BSDA","Detroit","Educational levels of a sample of 40 auto workers in Detroit"
"BSDA","Develop","Demographic characteristics of developmental students at 2-year colleges and 4-year colleges"
"BSDA","Devmath","Test scores for students who failed developmental mathematics in the fall semester 1995"
"BSDA","Dice","Outcomes and probabilities of the roll of a pair of fair dice"
"BSDA","Diesel","Diesel fuel prices in 1999-2000 in nine regions of the country"
"BSDA","Diplomat","Parking tickets issued to diplomats"
"BSDA","Disposal","Toxic intensity for manufacturing plants producing herbicidal preparations"
"BSDA","Dogs","Rankings of the favorite breeds of dogs"
"BSDA","Domestic","Rates of domestic violence per 1,000 women by age groups"
"BSDA","Dopamine","Dopamine b-hydroxylase activity of schizophrenic patients treated with an antipsychotic drug"
"BSDA","Dowjones","Closing yearend Dow Jones Industrial averages from 1896 through 2000"
"BSDA","Drink","Opinion on referendum by view on moral issue of selling alcoholic beverages"
"BSDA","Drug","Number of trials to master a task for a group of 28 subjects assigned to a control and an experimental group"
"BSDA","Dyslexia","Data on a group of college students diagnosed with dyslexia"
"BSDA","Earthqk","One hundred year record of worldwide seismic activity(1770-1869)"
"BSDA","Educat","Crime rates versus the percent of the population without a high school degree"
"BSDA","Eggs","Number of eggs versus amounts of feed supplement"
"BSDA","Elderly","Percent of the population over the age of 65"
"BSDA","Energy","Amount of energy consumed by homes versus their sizes"
"BSDA","Engineer","Salaries after 10 years for graduates of three different universities"
"BSDA","Entrance","College entrance exam scores for 24 high school seniors"
"BSDA","Epaminicompact","Fuel efficiency ratings for compact vehicles in 2001"
"BSDA","Epatwoseater","Fuel efficiency ratings for two-seater vehicles in 2001"
"BSDA","Executiv","Ages of 25 executives"
"BSDA","Exercise","Weight loss for 30 members of an exercise program"
"BSDA","Fabric","Measures of softness of ten different clothing garments washed with and without a softener"
"BSDA","Faithful","Waiting times between successive eruptions of the Old Faithful geyser"
"BSDA","Family","Size of family versus cost per person per week for groceries"
"BSDA","Ferraro1","Choice of presidental ticket in 1984 by gender"
"BSDA","Ferraro2","Choice of vice presidental candidate in 1984 by gender"
"BSDA","Fertility","Fertility rates of all 50 states and DC"
"BSDA","Firstchi","Ages of women at the birth of their first child"
"BSDA","Fish","Length and number of fish caught with small and large mesh codend"
"BSDA","Fitness","Number of sit-ups before and after a physical fitness course"
"BSDA","Florida2000","Florida voter results in the 2000 presidential election"
"BSDA","Fluid","Breakdown times of an insulating fluid under various levels of voltage stress"
"BSDA","Food","Annual food expenditures for 40 single households in Ohio"
"BSDA","Framingh","Cholesterol values of 62 subjects in the Framingham Heart Study"
"BSDA","Freshman","Ages of a random sample of 30 college freshmen"
"BSDA","Funeral","Cost of funeral by region of country"
"BSDA","Galaxie","Velocities of 82 galaxies in the Corona Borealis region"
"BSDA","Gallup","Results of a Gallup poll on possession of marijuana as a criminal offense conducted in 1980"
"BSDA","Gasoline","Price of regular unleaded gasoline obtained from 25 service stations"
"BSDA","German","Number of errors in copying a German passage before and after an experimental course in German"
"BSDA","Golf","Distances a golf ball can be driven by 20 professional golfers"
"BSDA","Governor","Annual salaries for state governors in 1994 and 1999"
"BSDA","Gpa","High school GPA versus college GPA"
"BSDA","Grades","Test grades in a beginning statistics class"
"BSDA","Graduate","Graduation rates for student athletes in the Southeastern Conf."
"BSDA","Greenriv","Varve thickness from a sequence through an Eocene lake deposit in the Rocky Mountains"
"BSDA","Grnriv2","Thickness of a varved section of the Green river oil shale deposit near a major lake in the Rocky Mountains"
"BSDA","Groupabc","Group data to illustrate analysis of variance"
"BSDA","Groups","An illustration of analysis of variance"
"BSDA","Gym","Children's age versus number of completed gymnastic activities"
"BSDA","Habits","Study habits of students in two matched school districts"
"BSDA","Haptoglo","Haptoglobin concentration in blood serum of 8 healthy adults"
"BSDA","Hardware","Daily receipts for a small hardware store for 31 working days"
"BSDA","Hardwood","Tensile strength of Kraft paper for different percentages of hardwood in the batches of pulp"
"BSDA","Heat","Primary heating sources of homes on indian reservations versus all households"
"BSDA","Heating","Fuel efficiency ratings for three types of oil heaters"
"BSDA","Hodgkin","Results of treatments for Hodgkin's disease"
"BSDA","Homes","Median prices of single-family homes in 65 metropolitan statistical areas"
"BSDA","Homework","Number of hours per week spent on homework for private and public high school students"
"BSDA","Honda","Miles per gallon for a Honda Civic on 35 different occasions"
"BSDA","Hostile","Hostility levels of high school students from rural, suburban, and urban areas"
"BSDA","Housing","Median home prices for 1984 and 1993 in 37 markets across the U.S."
"BSDA","Hurrican","Number of storms, hurricanes and El Nino effects from 1950 through 1995"
"BSDA","Iceberg","Number of icebergs sighted each month south of Newfoundland and south of the Grand Banks in 1920"
"BSDA","Income","Percent change in personal income from 1st to 2nd quarter in 2000"
"BSDA","Independent","Illustrates a comparison problem for long-tailed distributions"
"BSDA","Indian","Educational attainment versus per capita income and poverty rate for American indians living on reservations"
"BSDA","Indiapol","Average miles per hour for the winners of the Indianapolis 500 race"
"BSDA","Indy500","Qualifying miles per hour and number of previous starts for drivers in 79th Indianapolis 500 race"
"BSDA","Inflatio","Private pay increase of salaried employees versus inflation rate"
"BSDA","Inletoil","Inlet oil temperature through a valve"
"BSDA","Inmate","Type of drug offense by race"
"BSDA","Inspect","Percent of vehicles passing inspection by type inspection station"
"BSDA","Insulate","Heat loss through a new insulating medium"
"BSDA","Iqgpa","GPA versus IQ for 12 individuals"
"BSDA","Irises","R.A. Fishers famous data on Irises"
"BSDA","Jdpower","Number of problems reported per 100 cars in 1994 versus 1995s"
"BSDA","Jobsat","Job satisfaction and stress level for 9 school teachers"
"BSDA","Kidsmoke","Smoking habits of boys and girls ages 12 to 18"
"BSDA","Kilowatt","Rates per kilowatt-hour for each of the 50 states and DC"
"BSDA","Kinder","Reading scores for first grade children who attended kindergarten versus those who did not"
"BSDA","Laminect","Median costs of laminectomies at hospitals across North Carolina in 1992"
"BSDA","Lead","Lead levels in children's blood whose parents worked in a battery factory"
"BSDA","Leader","Leadership exam scores by age for employees on an industrial plant"
"BSDA","Lethal","Survival time of mice injected with an experimental lethal drug"
"BSDA","Life","Life expectancy of men and women in U.S."
"BSDA","Lifespan","Life span of electronic components used in a spacecraft versus heat"
"BSDA","Ligntmonth","Relationship between damage reports and deaths caused by lightning"
"BSDA","Lodge","Measured traffic at three prospective locations for a motor lodge"
"BSDA","Longtail","Long-tailed distributions to illustrate Kruskal Wallis test"
"BSDA","Lowabil","Reading skills of 24 matched low ability students"
"BSDA","Magnesiu","Magnesium concentration and distances between samples"
"BSDA","Malpract","Amounts awarded in 17 malpractice cases"
"BSDA","Manager","Advertised salaries offered general managers of major corporations in 1995"
"BSDA","Marked","Percent of marked cars in 65 police departments in Florida"
"BSDA","Math","Standardized math test scores for 30 students"
"BSDA","Mathcomp","Standardized math competency for a group of entering freshmen at a small community college"
"BSDA","Mathpro","Math proficiency and SAT scores by states"
"BSDA","Maze","Error scores for four groups of experimental animals running a maze"
"BSDA","Median","Illustrates test of equality of medians with the Kruskal Wallis test"
"BSDA","Mental","Median mental ages of 16 girls"
"BSDA","Mercury","Concentration of mercury in 25 lake trout"
"BSDA","Metrent","Monthly rental costs in metro areas with 1 million or more persons"
"BSDA","Miller","Miller personality test scores for a group of college students applying for graduate school"
"BSDA","Miller1","Twenty scores on the Miller personality test"
"BSDA","Moisture","Moisture content and depth of core sample for marine muds in eastern Louisiana"
"BSDA","Monoxide","Carbon monoxide emitted by smoke stacks of a manufacturer and a competitor"
"BSDA","Movie","Moral attitude scale on 15 subjects before and after viewing a movie"
"BSDA","Music","Improvement scores for identical twins taught music recognition by two techniques"
"BSDA","Name","Estimated value of a brand name product and the conpany's revenue"
"BSDA","Nascar","Efficiency of pit crews for three major NASCAR teams"
"BSDA","Nervous","Reaction effects of 4 drugs on 25 subjects with a nervous disorder"
"BSDA","Newsstand","Daily profits for 20 newsstands"
"BSDA","Nfldraf2","Rating, time in 40-yard dash, and weight of top defensive linemen in the 1994 NFL draft"
"BSDA","Nfldraft","Rating, time in 40-yard dash, and weight of top offensive linemen in the 1994 NFL draft"
"BSDA","Nicotine","Nicotine content versus sales for eight major brands of cigarettes"
"BSDA","Orange","Price of oranges versus size of the harvest"
"BSDA","Orioles","Salaries of members of the Baltimore Orioles baseball team"
"BSDA","Oxytocin","Arterial blood pressure of 11 subjects before and after receiving oxytocin"
"BSDA","Parented","Education backgrounds of parents of entering freshmen at a state university"
"BSDA","Patrol","Years of experience and number of tickets given by patrolpersons in New York City"
"BSDA","Pearson","Karl Pearson's data on heights of brothers and sisters"
"BSDA","Phone","Length of long-distance phone calls for a small business firm"
"BSDA","Poison","Number of poisonings reported to 16 poison control centers"
"BSDA","Politic","Political party and gender in a voting district"
"BSDA","Pollutio","Air pollution index for 15 randomly selected days for a major western city"
"BSDA","Porosity","Porosity measurements on 20 samples of Tensleep Sandstone, Pennsylvanian from Bighorn Basin in Wyoming"
"BSDA","Poverty","Percent poverty and crime rate for selected cities"
"BSDA","Precinct","Robbery rates versus percent low income in eight precincts"
"BSDA","Prejudic","Racial prejudice measured on a sample of 25 high school students"
"BSDA","Presiden","Ages at inauguration and death of U.S. presidents"
"BSDA","Press","Degree of confidence in the press versus education level for 20 randomly selected persons"
"BSDA","Prognost","Klopfer's prognostic rating scale for subjects receiving behavior modification therapy"
"BSDA","Program","Effects of four different methods of programmed learning for statistics students"
"BSDA","Psat","PSAT scores versus SAT scores"
"BSDA","Psych","Correct responses for 24 students in a psychology experiment"
"BSDA","Puerto","Weekly incomes of a random sample of 50 Puerto Rican families in Miami"
"BSDA","Quail","Plasma LDL levels in two groups of quail"
"BSDA","Quality","Quality control test scores on two manufacturing processes"
"BSDA","Rainks","Rainfall in an area of west central Kansas and four surrounding counties"
"BSDA","Randd","Research and development expenditures and sales of a large company"
"BSDA","Rat","Survival times of 20 rats exposed to high levels of radiation"
"BSDA","Ratings","Grade point averages versus teacher's ratings"
"BSDA","Reaction","Threshold reaction time for persons subjected to emotional stress"
"BSDA","Reading","Standardized reading scores for 30 fifth graders"
"BSDA","Readiq","Reading scores versus IQ scores"
"BSDA","Referend","Opinion on referendum by view on freedom of the press"
"BSDA","Region","Pollution index taken in three regions of the country"
"BSDA","Register","Maintenance cost versus age of cash registers in a department store"
"BSDA","Rehab","Rehabilitative potential of 20 prison inmates as judged by two psychiatrists"
"BSDA","Remedial","Math placement test score for 35 freshmen females and 42 freshmen males"
"BSDA","Rentals","Weekly rentals for 45 apartments"
"BSDA","Repair","Recorded times for repairing 22 automobiles involved in wrecks"
"BSDA","Retail","Length of employment versus gross sales for 10 employees of a large retail store"
"BSDA","Ronbrown1","Oceanography data obtained at site 1 by scientist aboard the ship Ron Brown"
"BSDA","Ronbrown2","Oceanography data obtained at site 2 by scientist aboard the ship Ron Brown"
"BSDA","Rural","Social adjustment scores for a rural group and a city group of children"
"BSDA","Salary","Starting salaries for 25 new PhD psychologist"
"BSDA","Salinity","Surface-water salinity measurements from Whitewater Bay, Florida"
"BSDA","Sat","SAT scores, percent taking exam and state funding per student by state for 1994, 1995 and 1999"
"BSDA","Saving","Problem asset ration for savings and loan companies in California, New York, and Texas"
"BSDA","Scales","Readings obtained from a 100 pound weight placed on four brands of bathroom scales"
"BSDA","Schizop2","Exam scores for 17 patients to assess the learning ability of schizophrenics after taking a specified does of a tranquilizer"
"BSDA","Schizoph","Standardized exam scores for 13 patients to investigate the learning ability of schizophrenics after a specified dose of a tranquilizer"
"BSDA","Seatbelt","Injury level versus seatbelt usage"
"BSDA","Selfdefe","Self-confidence scores for 9 women before and after instructions on self-defense"
"BSDA","Senior","Reaction times of 30 senior citizens applying for drivers license renewals"
"BSDA","Sentence","Sentences of 41 prisoners convicted of a homicide offense"
"BSDA","Shkdrug","Effects of a drug and electroshock therapy on the ability to solve simple tasks"
