"","Id","AgeReviewer","GenderReviewer","RevRating","RevType","RevLen","WordCount","AvgWordLen","SentiG2","SentiG3","SentiGPol","SentiGSub","SentiR2","SentiR3","SentiRPol","App","AppCat","nReviews","nInstalls","ContRating","lRevLen","AppRating"
"136",4465,NA,NA,4.42,"Short",65,10,3.15518322358462,"Positive","Positive",0.122321085767608,0.806812733237363,"Positive","Positive",-0.200635294607811,"Garden Fruit Legend","FAMILY",258109,"500000+","Teen",4.18965474202643,4.6
"138",5438,39,"Female",4.52,"Short",43,4,4.02231465001667,"Negative","Negative",0.448205476171537,0.368251694658788,"Positive","Positive",-0.14936031465675,"Block Puzzle","GAME",1042794,"5000000+","Teen",3.78418963391826,4.8
"142",1708,44,"Male",4.36,"Short",38,7,3.68851780665263,"Positive","Positive",-0.291770184348939,0.478113506199961,"Negative","Neutral",-0.0141167970743734,"Bubble Shooter","GAME",16422,"10000000+","Teen",3.66356164612965,4.68
"158",4915,NA,NA,4.38,"Long",187,23,3.36034954766417,"Positive","Neutral",-0.58097962510456,0.632494986016259,"Positive","Neutral",-0.217819889098398,"Altos Adventure","GAME",578435,"10000000+","Teen",5.23644196282995,4.63
"171",4092,NA,NA,4.47,"Short",31,7,3.96198577098182,"Negative","Negative",-0.655161686517779,0.423028347385582,"Positive","Neutral",0.283413478725488,"Angry Birds 2","FAMILY",240207,"100000000+","Mature",3.46573590279973,4.53
"191",4377,NA,NA,4.63,"Short",32,5,4.106086829925,"Positive","Neutral",-0.00429533480209037,0.540141919563536,"Positive","Neutral",-0.183030093041539,"Crossy Road","GAME",334325,"100000000+","Mature",3.49650756146648,4.54
"193",1301,NA,NA,4.33,"Short",96,11,3.46083897698462,"Negative","Negative",0.897885592204422,0.54856272986552,"Negative","Negative",0.0367987478751012,"Four In A Line Free","GAME",9333,"5000000+","Teen",4.57471097850338,4.43
"206",3191,NA,NA,4.12,"Short",68,7,3.75119048333913,"Negative","Negative",0.21363048942967,0.332198344676762,"Negative","Neutral",-0.0680636688964412,"Build a Bridge","FAMILY",86008,"10000000+","Mature",4.23410650459726,4.52
"212",5644,37,"Male",4.26,"Long",147,22,3.1072127130227,"Negative","Negative",-0.239082142443283,0.486545085296539,"Positive","Positive",-0.172497920864332,"Barbie?Fashion Closet","GAME",1495781,"10000000+","Teen",4.99721227376411,4.51
"220",1759,NA,NA,4.4,"Long",148,24,3.13024223357372,"Negative","Negative",-0.275934676858929,0.508383580302068,"Negative","Negative",-0.155840291799192,"Bubble Shooter","GAME",17307,"10000000+","Teen",5.00394630594546,4.68
"224",435,NA,NA,4.35,"Short",58,9,3.59806702528649,"Negative","Neutral",0.509357196177071,0.561839996837707,"Negative","Negative",-0.00448552260655589,"ETRADE Mobile","FINANCE",1408,"1000000+","Mature",4.07753744390572,4.75
"235",949,NA,NA,4.58,"Short",29,6,4.00026832908571,"Negative","Negative",-0.0656439317221994,0.202936758232111,"Negative","Negative",-0.166978078244962,"Ecobank Mobile Banking","FINANCE",4664,"1000000+","Mature",3.40119738166216,4.38
"248",1575,NA,NA,4.6,"Long",236,31,3.05530702227593,"Negative","Negative",0.447438710248305,0.665400351070669,"Negative","Negative",-0.41689919461721,"Baseball Boy","GAME",13707,"10000000+","Teen",5.46806014113513,4.55
"253",2641,NA,NA,4.45,"Long",118,21,3.13538108707244,"Negative","Negative",-0.181423809313293,0.501434199005334,"Negative","Neutral",-0.463710362295989,"Four In A Line","GAME",42750,"1000000+","Teen",4.77912349311153,4.62
"258",3534,NA,NA,4.47,"Short",74,9,3.82154057967568,"Positive","Positive",-0.0780861809405188,0.652005291106404,"Positive","Neutral",0.283297037323367,"Associated Credit Union Mobile","FINANCE",97392,"50000+","Teen",4.31748811353631,4.35
"263",5500,NA,NA,4.13,"Long",279,36,3.11840016948746,"Positive","Positive",0.186169996985837,0.554592141836543,"Positive","Positive",-0.343683757729512,"Candy Crush Soda Saga","GAME",1480138,"100000000+","Teen",5.63478960316925,4.7
"274",4421,NA,NA,4.27,"Short",40,6,4.4867725703,"Positive","Positive",-0.255383179492707,0.738567458353586,"Positive","Positive",-0.48865902932927,"Crossy Road","GAME",348493,"100000000+","Mature",3.71357206670431,4.54
"281",5534,NA,NA,4.32,"Short",64,9,3.22785383994074,"Negative","Negative",0.166422552575483,0.458992887824964,"Positive","Positive",-0.0724277972001179,"Candy Crush Soda Saga","GAME",1567319,"100000000+","Teen",4.17438726989564,4.7
"286",1174,NA,NA,4.31,"Long",378,43,3.32340939406162,"Negative","Negative",-0.63578770833879,0.654800407096068,"Negative","Negative",-0.199794477996034,"Flow Free","FAMILY",8727,"100000000+","Teen",5.93753620508243,4.87
"299",3763,NA,NA,4.5,"Long",203,34,2.95083101246316,"Negative","Negative",0.249666913549699,0.434247359758183,"Positive","Neutral",-0.251461673357119,"Hide App Private Dating Safe Chat PrivacyHider","DATING",136045,"1000000+","Mature",5.31811999384422,4.57
"300",151,28,"Female",4.38,"Short",51,8,3.60929520996429,"Negative","Negative",0.227405027989479,0.563387508183739,"Negative","Negative",0.180968477224033,"Color by Number Draw Sandbox Pixel Art","FAMILY",354,"1000000+","Teen",3.95124371858143,4.35
"301",6065,NA,NA,4.19,"Short",79,11,3.54924224025823,"Positive","Positive",0.545252923532353,0.519783952506487,"Positive","Positive",0.149626069795493,"Fruits Bomb","GAME",3738066,"10000000+","Teen",4.38202663467388,4.36
"302",491,NA,NA,4.37,"Long",161,20,3.52735513409496,"Negative","Negative",-0.376830029162856,0.595919341461598,"Negative","Negative",0.186058532778419,"Dr Panda Restaurant 3","FAMILY",1702,"1000000+","Mature",5.08759633523238,4.79
"306",6109,NA,NA,4.6,"Long",121,21,3.07697990439835,"Positive","Positive",0.0843968311840866,0.674865887459709,"Positive","Positive",-0.489079657218602,"Fruits Bomb","GAME",4080669,"10000000+","Teen",4.80402104473326,4.36
"317",5773,72,"Female",4.42,"Short",85,11,3.3970464054321,"Negative","Neutral",-0.482286972833749,0.223600069139392,"Positive","Positive",-0.194422289429732,"Barclays US for Android","FINANCE",1710847,"1000000+","Teen",4.45434729625351,4.73
"320",3873,NA,NA,4.18,"Long",251,34,3.06442464363817,"Negative","Negative",0.515428038348436,0.359102760691061,"Positive","Neutral",-0.424775807944724,"Hello Kitty Nail Salon","GAME",173063,"50000000+","Mature",5.52942908751142,4.53
"334",3374,37,"Female",4.37,"Short",33,7,4.0682112153814,"Negative","Negative",-0.369501844104883,0.549151264437444,"Negative","Neutral",0.395218141435194,"Dominos Game вп","FAMILY",82080,"1000000+","Mature",3.52636052461616,4.54
"335",431,NA,NA,4.52,"Short",89,10,3.65338497346479,"Negative","Negative",0.285552080345073,0.479364286355916,"Negative","Negative",0.178848057835753,"ETRADE Mobile","FINANCE",1394,"1000000+","Teen",4.49980967033027,4.75
"337",5490,NA,NA,4.53,"Long",220,25,3.26929181026231,"Negative","Negative",-0.341606834802067,0.594542929095026,"Positive","Positive",0.0228878411129396,"Candy Crush Soda Saga","GAME",1427505,"100000000+","Teen",5.39816270151775,4.7
"341",2390,NA,NA,4.3,"Long",112,16,3.38279328711724,"Negative","Neutral",-0.411928069183776,0.608152801114319,"Negative","Neutral",-0.323879436621622,"Cut the Rope FULL FREE","FAMILY",39791,"100000000+","Mature",4.72738781871234,4.52
"342",4582,40,"Female",4.32,"Long",126,17,3.31548920625152,"Negative","Negative",0.323999816208547,0.376866414529078,"Positive","Neutral",0.360524695310507,"Disney Magic Kingdoms Build Your Own Magical Park","FAMILY",372958,"10000000+","Teen",4.84418708645859,4.61
"359",4238,NA,NA,4.46,"Short",57,8,3.60280917854737,"Positive","Positive",-0.851324983525904,0.412446627847378,"Positive","Neutral",-0.169839063059438,"Dude Perfect 2","GAME",255248,"10000000+","Mature",4.06044301054642,4.72
"363",452,NA,NA,4.37,"Short",53,8,3.59711986572075,"Positive","Positive",-0.131073784672905,0.738283072186,"Positive","Neutral",-0.39120523076704,"ETRADE Mobile","FINANCE",1495,"1000000+","Mature",3.98898404656427,4.75
"364",498,73,"Female",4.13,"Long",96,19,2.91926481270175,"Negative","Negative",0.39643879780462,0.451017377275385,"Negative","Negative",-0.372598624668679,"Dr Panda Restaurant 3","FAMILY",1767,"1000000+","Teen",4.57471097850338,4.79
"372",3278,NA,NA,4.66,"Long",129,18,3.37421222678198,"Negative","Negative",-0.665562567294638,0.468448052969798,"Negative","Neutral",0.340815562350044,"Bubble Shooter Genies","GAME",83002,"5000000+","Mature",4.86753445045558,4.64
"389",1654,18,"Male",4.55,"Short",51,12,3.00386181470968,"Negative","Negative",-0.11913345383384,0.372051897678059,"Negative","Negative",-0.597732214733776,"Helix Jump","GAME",17290,"100000000+","Teen",3.95124371858143,4.37
"397",4639,18,"Male",4.39,"Short",19,5,4.18186996936364,"Negative","Neutral",-0.287970392186256,0.473176612300461,"Positive","Neutral",0.17406544734541,"Dog Run Pet Dog Simulator","GAME",360259,"10000000+","Mature",2.99573227355399,4.52
"403",1701,NA,NA,4.4,"Short",66,12,3.5170872829,"Negative","Negative",0.0927720232571632,0.413880021271698,"Negative","Negative",-0.770095569381794,"Bubble Shooter","GAME",16333,"10000000+","Teen",4.20469261939097,4.68
"408",1776,69,"Female",4.39,"Long",310,40,3.15689670337901,"Negative","Negative",0.125464321297323,0.619339493129488,"Negative","Negative",0.124745577406039,"Citizens Bank Mobile Banking","FINANCE",15826,"1000000+","Mature",5.73979291217923,4.52
"409",6110,NA,NA,4.34,"Long",143,26,2.85044822162326,"Negative","Negative",-0.0706257421509981,0.584731439328202,"Positive","Positive",0.201902541008229,"Fruits Bomb","GAME",4081597,"10000000+","Mature",4.969813299576,4.36
"411",6424,NA,NA,4.23,"Short",81,14,3.25307491772593,"Positive","Positive",-0.128943769157974,0.519497146102447,"Positive","Positive",0.16303058019049,"Color Road","GAME",12059887,"10000000+","Mature",4.40671924726425,4.27
"423",1756,23,"Female",4.42,"Long",138,24,3.21989879572658,"Negative","Negative",0.375118137745912,0.644706294636489,"Negative","Negative",-0.22117675505238,"Bubble Shooter","GAME",17216,"10000000+","Teen",4.93447393313069,4.68
"426",3935,NA,NA,4.35,"Short",44,5,4.21778816277778,"Negative","Negative",-0.170410260456576,0.5616857724399,"Negative","Neutral",-0.908627034066456,"A Call From Santa Claus","FAMILY",146104,"1000000+","Teen",3.80666248977032,4.6
"433",3466,NA,NA,4.26,"Long",304,40,3.18446012788811,"Negative","Negative",-0.0781508256162555,0.405851187267674,"Negative","Neutral",-0.152676025316728,"Cooking Fever","GAME",128122,"100000000+","Mature",5.72031177660741,4.45
"440",5208,NA,NA,4.33,"Long",137,19,3.07278793725985,"Positive","Positive",0.335370527336825,0.68818369688592,"Positive","Positive",-0.325013885028947,"Angry Birds Classic","GAME",940943,"100000000+","Teen",4.92725368515721,4.5
"441",4910,NA,NA,4.26,"Long",189,25,3.37772662472804,"Positive","Neutral",0.259463843507487,0.516751807054457,"Positive","Neutral",0.0173738123930014,"Altos Adventure","GAME",573557,"10000000+","Mature",5.24702407216049,4.63
"449",4193,45,"Female",4.48,"Long",179,30,3.00045185029944,"Positive","Positive",-0.556680694852939,0.591815959110725,"Positive","Positive",0.0657582995725519,"Dude Perfect 2","GAME",241374,"10000000+","Mature",5.19295685089021,4.72
"454",5014,NA,NA,4.26,"Long",112,16,3.27873113141429,"Positive","Positive",-0.268299737665972,0.716455062309938,"Positive","Positive",0.76482273285455,"COOKING MAMA Lets Cook","FAMILY",668406,"10000000+","Mature",4.72738781871234,4.47
"456",4884,NA,NA,4.3,"Short",91,13,3.42319167245495,"Positive","Neutral",-0.218468778765323,0.488539849212785,"Positive","Neutral",0.567495114882249,"Altos Adventure","GAME",554340,"10000000+","Teen",4.52178857704904,4.63
"458",62,NA,NA,4.28,"Short",62,9,3.65729786878788,"Negative","Negative",0.420851282059335,0.521673738666523,"Negative","Negative",0.15893840519273,"Hello Stars","GAME",162,"10000000+","Teen",4.14313472639153,4.71
"461",648,NA,NA,4.35,"Short",13,3,5.6333334664381,"Negative","Negative",0.0248463251511591,0.403297105588919,"Negative","Negative",-0.409855986342723,"Candy Smash","FAMILY",2521,"1000000+","Mature",2.63905732961526,4.52
"463",5184,57,"Female",4.18,"Short",80,11,3.25874108527568,"Negative","Neutral",-0.575530489958499,0.549244889300425,"Positive","Positive",0.537178720835447,"Angry Birds Classic","GAME",923478,"100000000+","Mature",4.39444915467244,4.5
"477",2009,NA,NA,4.48,"Long",144,16,3.31735118128926,"Negative","Negative",-0.481100073869842,0.325090858499176,"Negative","Negative",-0.21350114107808,"Bubble Witch 3 Saga","GAME",26631,"50000000+","Teen",4.97673374242057,4.64
"479",4126,NA,NA,4.29,"Short",87,13,3.2264150901726,"Negative","Negative",0.583648503452545,0.494209558431548,"Positive","Neutral",-0.241421969337857,"Equestria Girls","FAMILY",221832,"10000000+","Teen",4.47733681447821,4.51
"481",4218,NA,NA,4.6,"Short",15,2,5.05998814413333,"Positive","Positive",-0.355126784509248,0.29889900858563,"Positive","Neutral",-0.308600088455691,"Dude Perfect 2","GAME",249444,"10000000+","Teen",2.77258872223978,4.72
"485",448,30,"Female",4.66,"Short",88,11,3.433384872875,"Negative","Negative",-0.388537831402055,0.638494917774534,"Negative","Negative",-0.041153949507268,"ETRADE Mobile","FINANCE",1478,"1000000+","Teen",4.48863636973214,4.75
"495",1196,NA,NA,4.45,"Long",1159,149,3.03050831119491,"Negative","Negative",-0.0175090209666127,0.937399633199471,"Negative","Negative",0.0908215684427872,"Flow Free","FAMILY",9130,"100000000+","Teen",7.05617528410041,4.87
"506",2020,NA,NA,4.41,"Long",128,16,3.47061067374545,"Negative","Negative",0.265383448226477,0.395927552658742,"Negative","Negative",-0.349164388883067,"Bubble Witch 3 Saga","GAME",26966,"50000000+","Teen",4.85981240436167,4.64
"515",5252,NA,NA,4.17,"Short",39,6,3.65221526308205,"Positive","Positive",-0.519869622432462,0.342376269002496,"Positive","Neutral",0.0152994813565158,"Angry Birds Classic","GAME",1005448,"100000000+","Teen",3.68887945411394,4.5
"518",3751,49,"Male",4.44,"Long",230,30,3.1276090616744,"Negative","Negative",-0.0784650450389293,0.587277537859806,"Negative","Neutral",-0.0547517882400459,"Hide App Private Dating Safe Chat PrivacyHider","DATING",134659,"1000000+","Teen",5.44241771052179,4.57
"521",4872,NA,NA,4.48,"Short",72,13,3.39206137036774,"Negative","Negative",-0.300059312619913,0.558431104970579,"Positive","Neutral",0.255990262557457,"Altos Adventure","GAME",545373,"10000000+","Teen",4.29045944114839,4.63
"523",3171,NA,NA,4.41,"Short",6,2,5.87131085793333,"Negative","Negative",0.0160701003965691,0.339731101473254,"Negative","Neutral",-0.191270663811168,"Build a Bridge","FAMILY",84162,"10000000+","Mature",1.94591014905531,4.52
"524",5936,NA,NA,4.56,"Short",20,4,4.3889705629,"Positive","Positive",-0.65089648957361,0.434087442494721,"Positive","Positive",0.211106686668083,"A Mobile","FINANCE",2150081,"10000+","Teen",3.04452243772342,4.54
"535",3847,NA,NA,4.41,"Short",51,9,3.59402288799216,"Positive","Neutral",0.661712400563069,0.656558087052708,"Positive","Neutral",-0.453831095039974,"Checkers вп","FAMILY",133309,"1000000+","Teen",3.95124371858143,4.36
"545",3241,NA,NA,4.64,"Short",76,10,3.67234934790303,"Negative","Negative",-0.218849837137188,0.499176860394261,"Negative","Neutral",0.231793427257888,"CreditWise from Capital One","FINANCE",79866,"1000000+","Teen",4.34380542185368,4.32
"547",147,NA,NA,4.5,"Short",60,12,3.3742677183791,"Negative","Negative",0.161042241338954,0.507459599140987,"Negative","Negative",-0.688123711042268,"Color by Number Draw Sandbox Pixel Art","FAMILY",347,"1000000+","Mature",4.11087386417331,4.35
"564",872,20,"Male",4.49,"Long",225,33,2.96391279457277,"Negative","Negative",-0.491224330305087,0.62712719710309,"Negative","Negative",-0.434358070872498,"Baby puzzles","FAMILY",4026,"5000000+","Teen",5.42053499927229,4.31
"565",5727,NA,NA,4.49,"Long",415,55,3.24553619063614,"Positive","Neutral",-0.287215821439178,0.528551809624491,"Positive","Positive",0.45371141042921,"Branch","FINANCE",1726478,"1000000+","Teen",6.03068526026126,4.49
"569",149,NA,NA,4.51,"Short",51,10,3.50270620446667,"Negative","Negative",0.298554722621605,0.432031244816649,"Negative","Negative",-0.107701258111057,"Color by Number Draw Sandbox Pixel Art","FAMILY",350,"1000000+","Teen",3.95124371858143,4.35
"571",1829,28,"Female",4.29,"Short",9,4,3.9044018984,"Negative","Neutral",-0.000268215101845833,0.397695105000226,"Negative","Neutral",0.00772353233063889,"Frozen Free Fall","FAMILY",21307,"50000000+","Mature",2.30258509299405,4.41
"580",5915,NA,NA,4.45,"Long",107,16,3.27105864059252,"Positive","Positive",-0.374074808857402,0.61068605576407,"Positive","Positive",0.208445770795582,"A Mobile","FINANCE",2062251,"10000+","Teen",4.68213122712422,4.54
"588",5219,70,"Male",4.25,"Long",122,21,3.25775956736934,"Negative","Neutral",-0.275545273712856,0.553314502226195,"Positive","Positive",-0.312662779437345,"Angry Birds Classic","GAME",958403,"100000000+","Mature",4.81218435537242,4.5
"589",474,NA,NA,4.31,"Short",55,9,3.4236604594087,"Negative","Negative",0.410572815305882,0.284479802928362,"Negative","Negative",-0.679941236623946,"Baby Panda Care","FAMILY",1810,"10000000+","Mature",4.02535169073515,4.54
"591",2657,NA,NA,4.31,"Long",331,45,3.06951254182538,"Positive","Neutral",-0.152388739531915,0.553274851989825,"Negative","Neutral",-0.706156629586893,"C Programming","FAMILY",43536,"1000000+","Mature",5.80513496891649,4.74
"595",2210,NA,NA,4.37,"Short",99,12,3.34502293659747,"Negative","Negative",0.17420581708554,0.385615599355153,"Negative","Negative",-0.0354528259470211,"Flip the Gun Simulator Game","GAME",28587,"10000000+","Teen",4.60517018598809,4.7
"597",3875,NA,NA,4.26,"Long",131,24,3.10975367949206,"Negative","Negative",-0.2822046884294,0.483717509212926,"Positive","Neutral",0.0998544834729082,"Hello Kitty Nail Salon","GAME",173118,"50000000+","Teen",4.88280192258637,4.53
"601",1556,71,"Male",4.47,"Short",73,13,3.40232969994521,"Positive","Positive",-0.0939156843971356,0.718246986795833,"Negative","Neutral",-0.636162087969511,"BankMobile Vibe App","FINANCE",11771,"1000000+","Mature",4.30406509320417,4.62
"602",1753,26,"Female",4.5,"Long",121,20,3.136519208,"Negative","Negative",-0.0252198521696619,0.613002398118959,"Negative","Negative",0.425980853381444,"Bubble Shooter","GAME",17187,"10000000+","Teen",4.80402104473326,4.68
"603",6175,62,"Male",4.29,"Short",59,10,3.5698814403661,"Positive","Neutral",-0.418126393121451,0.474464058619491,"Positive","Positive",0.281946276750754,"Farm Heroes Saga","GAME",6039115,"100000000+","Teen",4.0943445622221,4.38
"604",2604,30,"Female",4.49,"Long",92,17,2.97256195055054,"Negative","Neutral",-0.0414359191220759,0.508617432156063,"Negative","Neutral",0.220171126800162,"Four In A Line","GAME",41145,"1000000+","Teen",4.53259949315326,4.62
"610",500,NA,NA,4.19,"Long",113,15,3.37108882820976,"Negative","Negative",-0.237903150522373,0.468844389047052,"Negative","Negative",-0.285199591812925,"Dr Panda Restaurant 3","FAMILY",1772,"1000000+","Mature",4.7361984483945,4.79
"620",88,73,"Female",4.33,"Short",35,6,4.17362556246038,"Negative","Negative",0.30033559236262,0.297315192994098,"Negative","Negative",0.0989418431637216,"Hello Stars","GAME",219,"10000000+","Teen",3.58351893845611,4.71
"622",26,NA,NA,4.24,"Short",22,5,4.11862994362857,"Negative","Negative",-0.821520210547946,0.340284486721982,"Negative","Negative",-0.904758624947158,"Hay Day","FAMILY",78,"100000000+","Teen",3.13549421592915,4.52
"632",3250,NA,NA,4.48,"Short",82,14,3.46493775883158,"Negative","Negative",0.373982020525868,0.673575795229752,"Negative","Neutral",-0.0116951673841474,"CreditWise from Capital One","FINANCE",80578,"1000000+","Mature",4.4188406077966,4.32
"635",6329,NA,NA,4.65,"Long",171,21,3.24940481528627,"Negative","Neutral",-0.511740804865474,0.50544836238557,"Positive","Positive",0.640837287161872,"Digit Save Money Automatically","FINANCE",6920705,"100000+","Mature",5.14749447681345,4.63
"643",5454,NA,NA,4.14,"Short",51,8,3.47329599298431,"Positive","Positive",0.12335460874534,0.552157309204362,"Positive","Positive",-0.142445672228418,"Block Puzzle","GAME",1069536,"5000000+","Teen",3.95124371858143,4.8
"645",4108,NA,NA,4.26,"Short",58,10,3.52654449025085,"Negative","Neutral",-0.215224959958018,0.432971399780756,"Positive","Neutral",-0.0654467210423576,"Equestria Girls","FAMILY",218540,"10000000+","Teen",4.07753744390572,4.51
"647",4921,NA,NA,4.21,"Long",263,33,3.23863770478347,"Negative","Negative",-0.2604496769079,0.644744072403548,"Positive","Neutral",0.17498725312455,"Altos Adventure","GAME",582384,"10000000+","Teen",5.57594910314632,4.63
