Id,AgeReviewer,GenderReviewer,RevRating,RevType,RevLen,WordCount,AvgWordLen,SentiG2,SentiG3,SentiGPol,SentiGSub,SentiR2,SentiR3,SentiRPol,App,AppCat,nReviews,nInstalls,ContRating,lRevLen,AppRating
40,NA,NA,4.35,Short,58,9,3.598067025,Negative,Neutral,0.509357196,0.561839997,Negative,Negative,-0.004485523,ETRADE Mobile,FINANCE,1408,1000000+,Mature,4.077537444,4.75
41,NA,NA,4.58,Short,29,6,4.000268329,Negative,Negative,-0.065643932,0.202936758,Negative,Negative,-0.166978078,Ecobank Mobile Banking,FINANCE,4664,1000000+,Mature,3.401197382,4.38
42,NA,NA,4.6,Long,236,31,3.055307022,Negative,Negative,0.44743871,0.665400351,Negative,Negative,-0.416899195,Baseball Boy,GAME,13707,10000000+,Teen,5.468060141,4.55
43,NA,NA,4.45,Long,118,21,3.135381087,Negative,Negative,-0.181423809,0.501434199,Negative,Neutral,-0.463710362,Four In A Line,GAME,42750,1000000+,Teen,4.779123493,4.62
44,NA,NA,4.47,Short,74,9,3.82154058,Positive,Positive,-0.078086181,0.652005291,Positive,Neutral,0.283297037,Associated Credit Union Mobile,FINANCE,97392,50000+,Teen,4.317488114,4.35
45,NA,NA,4.13,Long,279,36,3.118400169,Positive,Positive,0.186169997,0.554592142,Positive,Positive,-0.343683758,Candy Crush Soda Saga,GAME,1480138,100000000+,Teen,5.634789603,4.7
46,NA,NA,4.27,Short,40,6,4.48677257,Positive,Positive,-0.255383179,0.738567458,Positive,Positive,-0.488659029,Crossy Road,GAME,348493,100000000+,Mature,3.713572067,4.54
47,NA,NA,4.32,Short,64,9,3.22785384,Negative,Negative,0.166422553,0.458992888,Positive,Positive,-0.072427797,Candy Crush Soda Saga,GAME,1567319,100000000+,Teen,4.17438727,4.7
48,NA,NA,4.31,Long,378,43,3.323409394,Negative,Negative,-0.635787708,0.654800407,Negative,Negative,-0.199794478,Flow Free,FAMILY,8727,100000000+,Teen,5.937536205,4.87
49,NA,NA,4.5,Long,203,34,2.950831012,Negative,Negative,0.249666914,0.43424736,Positive,Neutral,-0.251461673,Hide App Private Dating Safe Chat PrivacyHider,DATING,136045,1000000+,Mature,5.318119994,4.57
50,28,Female,4.38,Short,51,8,3.60929521,Negative,Negative,0.227405028,0.563387508,Negative,Negative,0.180968477,Color by Number Draw Sandbox Pixel Art,FAMILY,354,1000000+,Teen,3.951243719,4.35
51,NA,NA,4.19,Short,79,11,3.54924224,Positive,Positive,0.545252924,0.519783953,Positive,Positive,0.14962607,Fruits Bomb,GAME,3738066,10000000+,Teen,4.382026635,4.36
52,NA,NA,4.37,Long,161,20,3.527355134,Negative,Negative,-0.376830029,0.595919341,Negative,Negative,0.186058533,Dr Panda Restaurant 3,FAMILY,1702,1000000+,Mature,5.087596335,4.79
53,NA,NA,4.6,Long,121,21,3.076979904,Positive,Positive,0.084396831,0.674865887,Positive,Positive,-0.489079657,Fruits Bomb,GAME,4080669,10000000+,Teen,4.804021045,4.36
54,72,Female,4.42,Short,85,11,3.397046405,Negative,Neutral,-0.482286973,0.223600069,Positive,Positive,-0.194422289,Barclays US for Android,FINANCE,1710847,1000000+,Teen,4.454347296,4.73
55,NA,NA,4.18,Long,251,34,3.064424644,Negative,Negative,0.515428038,0.359102761,Positive,Neutral,-0.424775808,Hello Kitty Nail Salon,GAME,173063,50000000+,Mature,5.529429088,4.53
56,37,Female,4.37,Short,33,7,4.068211215,Negative,Negative,-0.369501844,0.549151264,Negative,Neutral,0.395218141,Dominos Game вп,FAMILY,82080,1000000+,Mature,3.526360525,4.54
57,NA,NA,4.52,Short,89,10,3.653384973,Negative,Negative,0.28555208,0.479364286,Negative,Negative,0.178848058,ETRADE Mobile,FINANCE,1394,1000000+,Teen,4.49980967,4.75
58,NA,NA,4.53,Long,220,25,3.26929181,Negative,Negative,-0.341606835,0.594542929,Positive,Positive,0.022887841,Candy Crush Soda Saga,GAME,1427505,100000000+,Teen,5.398162702,4.7
59,NA,NA,4.3,Long,112,16,3.382793287,Negative,Neutral,-0.411928069,0.608152801,Negative,Neutral,-0.323879437,Cut the Rope FULL FREE,FAMILY,39791,100000000+,Mature,4.727387819,4.52
60,40,Female,4.32,Long,126,17,3.315489206,Negative,Negative,0.323999816,0.376866415,Positive,Neutral,0.360524695,Disney Magic Kingdoms Build Your Own Magical Park,FAMILY,372958,10000000+,Teen,4.844187086,4.61
61,NA,NA,4.46,Short,57,8,3.602809179,Positive,Positive,-0.851324984,0.412446628,Positive,Neutral,-0.169839063,Dude Perfect 2,GAME,255248,10000000+,Mature,4.060443011,4.72
62,NA,NA,4.37,Short,53,8,3.597119866,Positive,Positive,-0.131073785,0.738283072,Positive,Neutral,-0.391205231,ETRADE Mobile,FINANCE,1495,1000000+,Mature,3.988984047,4.75
63,73,Female,4.13,Long,96,19,2.919264813,Negative,Negative,0.396438798,0.451017377,Negative,Negative,-0.372598625,Dr Panda Restaurant 3,FAMILY,1767,1000000+,Teen,4.574710979,4.79
64,NA,NA,4.66,Long,129,18,3.374212227,Negative,Negative,-0.665562567,0.468448053,Negative,Neutral,0.340815562,Bubble Shooter Genies,GAME,83002,5000000+,Mature,4.86753445,4.64
65,18,Male,4.55,Short,51,12,3.003861815,Negative,Negative,-0.119133454,0.372051898,Negative,Negative,-0.597732215,Helix Jump,GAME,17290,100000000+,Teen,3.951243719,4.37
66,18,Male,4.39,Short,19,5,4.181869969,Negative,Neutral,-0.287970392,0.473176612,Positive,Neutral,0.174065447,Dog Run Pet Dog Simulator,GAME,360259,10000000+,Mature,2.995732274,4.52
67,NA,NA,4.4,Short,66,12,3.517087283,Negative,Negative,0.092772023,0.413880021,Negative,Negative,-0.770095569,Bubble Shooter,GAME,16333,10000000+,Teen,4.204692619,4.68
68,69,Female,4.39,Long,310,40,3.156896703,Negative,Negative,0.125464321,0.619339493,Negative,Negative,0.124745577,Citizens Bank Mobile Banking,FINANCE,15826,1000000+,Mature,5.739792912,4.52
69,NA,NA,4.34,Long,143,26,2.850448222,Negative,Negative,-0.070625742,0.584731439,Positive,Positive,0.201902541,Fruits Bomb,GAME,4081597,10000000+,Mature,4.9698133,4.36
70,NA,NA,4.23,Short,81,14,3.253074918,Positive,Positive,-0.128943769,0.519497146,Positive,Positive,0.16303058,Color Road,GAME,12059887,10000000+,Mature,4.406719247,4.27
71,23,Female,4.42,Long,138,24,3.219898796,Negative,Negative,0.375118138,0.644706295,Negative,Negative,-0.221176755,Bubble Shooter,GAME,17216,10000000+,Teen,4.934473933,4.68
72,NA,NA,4.35,Short,44,5,4.217788163,Negative,Negative,-0.17041026,0.561685772,Negative,Neutral,-0.908627034,A Call From Santa Claus,FAMILY,146104,1000000+,Teen,3.80666249,4.6
73,NA,NA,4.26,Long,304,40,3.184460128,Negative,Negative,-0.078150826,0.405851187,Negative,Neutral,-0.152676025,Cooking Fever,GAME,128122,100000000+,Mature,5.720311777,4.45
74,NA,NA,4.33,Long,137,19,3.072787937,Positive,Positive,0.335370527,0.688183697,Positive,Positive,-0.325013885,Angry Birds Classic,GAME,940943,100000000+,Teen,4.927253685,4.5
75,NA,NA,4.26,Long,189,25,3.377726625,Positive,Neutral,0.259463844,0.516751807,Positive,Neutral,0.017373812,Altos Adventure,GAME,573557,10000000+,Mature,5.247024072,4.63
76,45,Female,4.48,Long,179,30,3.00045185,Positive,Positive,-0.556680695,0.591815959,Positive,Positive,0.0657583,Dude Perfect 2,GAME,241374,10000000+,Mature,5.192956851,4.72
77,NA,NA,4.26,Long,112,16,3.278731131,Positive,Positive,-0.268299738,0.716455062,Positive,Positive,0.764822733,COOKING MAMA Lets Cook,FAMILY,668406,10000000+,Mature,4.727387819,4.47
78,NA,NA,4.3,Short,91,13,3.423191672,Positive,Neutral,-0.218468779,0.488539849,Positive,Neutral,0.567495115,Altos Adventure,GAME,554340,10000000+,Teen,4.521788577,4.63
79,NA,NA,4.28,Short,62,9,3.657297869,Negative,Negative,0.420851282,0.521673739,Negative,Negative,0.158938405,Hello Stars,GAME,162,10000000+,Teen,4.143134726,4.71
80,NA,NA,4.35,Short,13,3,5.633333466,Negative,Negative,0.024846325,0.403297106,Negative,Negative,-0.409855986,Candy Smash,FAMILY,2521,1000000+,Mature,2.63905733,4.52
81,57,Female,4.18,Short,80,11,3.258741085,Negative,Neutral,-0.57553049,0.549244889,Positive,Positive,0.537178721,Angry Birds Classic,GAME,923478,100000000+,Mature,4.394449155,4.5
82,NA,NA,4.48,Long,144,16,3.317351181,Negative,Negative,-0.481100074,0.325090858,Negative,Negative,-0.213501141,Bubble Witch 3 Saga,GAME,26631,50000000+,Teen,4.976733742,4.64
83,NA,NA,4.29,Short,87,13,3.22641509,Negative,Negative,0.583648503,0.494209558,Positive,Neutral,-0.241421969,Equestria Girls,FAMILY,221832,10000000+,Teen,4.477336814,4.51
84,NA,NA,4.6,Short,15,2,5.059988144,Positive,Positive,-0.355126785,0.298899009,Positive,Neutral,-0.308600088,Dude Perfect 2,GAME,249444,10000000+,Teen,2.772588722,4.72
85,30,Female,4.66,Short,88,11,3.433384873,Negative,Negative,-0.388537831,0.638494918,Negative,Negative,-0.04115395,ETRADE Mobile,FINANCE,1478,1000000+,Teen,4.48863637,4.75
86,NA,NA,4.45,Long,1159,149,3.030508311,Negative,Negative,-0.017509021,0.937399633,Negative,Negative,0.090821568,Flow Free,FAMILY,9130,100000000+,Teen,7.056175284,4.87
87,NA,NA,4.41,Long,128,16,3.470610674,Negative,Negative,0.265383448,0.395927553,Negative,Negative,-0.349164389,Bubble Witch 3 Saga,GAME,26966,50000000+,Teen,4.859812404,4.64
88,NA,NA,4.17,Short,39,6,3.652215263,Positive,Positive,-0.519869622,0.342376269,Positive,Neutral,0.015299481,Angry Birds Classic,GAME,1005448,100000000+,Teen,3.688879454,4.5
89,49,Male,4.44,Long,230,30,3.127609062,Negative,Negative,-0.078465045,0.587277538,Negative,Neutral,-0.054751788,Hide App Private Dating Safe Chat PrivacyHider,DATING,134659,1000000+,Teen,5.442417711,4.57
90,NA,NA,4.48,Short,72,13,3.39206137,Negative,Negative,-0.300059313,0.558431105,Positive,Neutral,0.255990263,Altos Adventure,GAME,545373,10000000+,Teen,4.290459441,4.63
91,NA,NA,4.41,Short,6,2,5.871310858,Negative,Negative,0.0160701,0.339731101,Negative,Neutral,-0.191270664,Build a Bridge,FAMILY,84162,10000000+,Mature,1.945910149,4.52
92,NA,NA,4.56,Short,20,4,4.388970563,Positive,Positive,-0.65089649,0.434087442,Positive,Positive,0.211106687,A Mobile,FINANCE,2150081,10000+,Teen,3.044522438,4.54
93,NA,NA,4.41,Short,51,9,3.594022888,Positive,Neutral,0.661712401,0.656558087,Positive,Neutral,-0.453831095,Checkers вп,FAMILY,133309,1000000+,Teen,3.951243719,4.36
94,NA,NA,4.64,Short,76,10,3.672349348,Negative,Negative,-0.218849837,0.49917686,Negative,Neutral,0.231793427,CreditWise from Capital One,FINANCE,79866,1000000+,Teen,4.343805422,4.32
95,NA,NA,4.5,Short,60,12,3.374267718,Negative,Negative,0.161042241,0.507459599,Negative,Negative,-0.688123711,Color by Number Draw Sandbox Pixel Art,FAMILY,347,1000000+,Mature,4.110873864,4.35
96,20,Male,4.49,Long,225,33,2.963912795,Negative,Negative,-0.49122433,0.627127197,Negative,Negative,-0.434358071,Baby puzzles,FAMILY,4026,5000000+,Teen,5.420534999,4.31
97,NA,NA,4.49,Long,415,55,3.245536191,Positive,Neutral,-0.287215821,0.52855181,Positive,Positive,0.45371141,Branch,FINANCE,1726478,1000000+,Teen,6.03068526,4.49
98,NA,NA,4.51,Short,51,10,3.502706204,Negative,Negative,0.298554723,0.432031245,Negative,Negative,-0.107701258,Color by Number Draw Sandbox Pixel Art,FAMILY,350,1000000+,Teen,3.951243719,4.35
99,28,Female,4.29,Short,9,4,3.904401898,Negative,Neutral,-0.000268215,0.397695105,Negative,Neutral,0.007723532,Frozen Free Fall,FAMILY,21307,50000000+,Mature,2.302585093,4.41
100,NA,NA,4.45,Long,107,16,3.271058641,Positive,Positive,-0.374074809,0.610686056,Positive,Positive,0.208445771,A Mobile,FINANCE,2062251,10000+,Teen,4.682131227,4.54
101,70,Male,4.25,Long,122,21,3.257759567,Negative,Neutral,-0.275545274,0.553314502,Positive,Positive,-0.312662779,Angry Birds Classic,GAME,958403,100000000+,Mature,4.812184355,4.5
102,NA,NA,4.31,Short,55,9,3.423660459,Negative,Negative,0.410572815,0.284479803,Negative,Negative,-0.679941237,Baby Panda Care,FAMILY,1810,10000000+,Mature,4.025351691,4.54
103,NA,NA,4.31,Long,331,45,3.069512542,Positive,Neutral,-0.15238874,0.553274852,Negative,Neutral,-0.70615663,C Programming,FAMILY,43536,1000000+,Mature,5.805134969,4.74
104,NA,NA,4.37,Short,99,12,3.345022937,Negative,Negative,0.174205817,0.385615599,Negative,Negative,-0.035452826,Flip the Gun Simulator Game,GAME,28587,10000000+,Teen,4.605170186,4.7
105,NA,NA,4.26,Long,131,24,3.109753679,Negative,Negative,-0.282204688,0.483717509,Positive,Neutral,0.099854483,Hello Kitty Nail Salon,GAME,173118,50000000+,Teen,4.882801923,4.53
106,71,Male,4.47,Short,73,13,3.4023297,Positive,Positive,-0.093915684,0.718246987,Negative,Neutral,-0.636162088,BankMobile Vibe App,FINANCE,11771,1000000+,Mature,4.304065093,4.62
107,26,Female,4.5,Long,121,20,3.136519208,Negative,Negative,-0.025219852,0.613002398,Negative,Negative,0.425980853,Bubble Shooter,GAME,17187,10000000+,Teen,4.804021045,4.68
108,62,Male,4.29,Short,59,10,3.56988144,Positive,Neutral,-0.418126393,0.474464059,Positive,Positive,0.281946277,Farm Heroes Saga,GAME,6039115,100000000+,Teen,4.094344562,4.38
109,30,Female,4.49,Long,92,17,2.972561951,Negative,Neutral,-0.041435919,0.508617432,Negative,Neutral,0.220171127,Four In A Line,GAME,41145,1000000+,Teen,4.532599493,4.62
110,NA,NA,4.19,Long,113,15,3.371088828,Negative,Negative,-0.237903151,0.468844389,Negative,Negative,-0.285199592,Dr Panda Restaurant 3,FAMILY,1772,1000000+,Mature,4.736198448,4.79
111,73,Female,4.33,Short,35,6,4.173625562,Negative,Negative,0.300335592,0.297315193,Negative,Negative,0.098941843,Hello Stars,GAME,219,10000000+,Teen,3.583518938,4.71
112,NA,NA,4.24,Short,22,5,4.118629944,Negative,Negative,-0.821520211,0.340284487,Negative,Negative,-0.904758625,Hay Day,FAMILY,78,100000000+,Teen,3.135494216,4.52
113,NA,NA,4.48,Short,82,14,3.464937759,Negative,Negative,0.373982021,0.673575795,Negative,Neutral,-0.011695167,CreditWise from Capital One,FINANCE,80578,1000000+,Mature,4.418840608,4.32
114,NA,NA,4.65,Long,171,21,3.249404815,Negative,Neutral,-0.511740805,0.505448362,Positive,Positive,0.640837287,Digit Save Money Automatically,FINANCE,6920705,100000+,Mature,5.147494477,4.63
115,NA,NA,4.14,Short,51,8,3.473295993,Positive,Positive,0.123354609,0.552157309,Positive,Positive,-0.142445672,Block Puzzle,GAME,1069536,5000000+,Teen,3.951243719,4.8
116,NA,NA,4.26,Short,58,10,3.52654449,Negative,Neutral,-0.21522496,0.4329714,Positive,Neutral,-0.065446721,Equestria Girls,FAMILY,218540,10000000+,Teen,4.077537444,4.51
117,NA,NA,4.21,Long,263,33,3.238637705,Negative,Negative,-0.260449677,0.644744072,Positive,Neutral,0.174987253,Altos Adventure,GAME,582384,10000000+,Teen,5.575949103,4.63
118,NA,NA,4.2,Long,134,26,3.036447931,Negative,Neutral,-0.075038091,0.641310507,Negative,Negative,-0.140042646,Cat Sim Online Play with Cats,FAMILY,10065,5000000+,Mature,4.905274778,4.56
119,21,Male,4.4,Short,59,13,3.232273729,Negative,Negative,-0.481374784,0.579740535,Negative,Negative,-1,Battlelands Royale,GAME,1394,1000000+,Mature,4.094344562,4.61
120,NA,NA,4.34,Long,114,18,3.194062944,Negative,Neutral,-0.006155338,0.609884109,Negative,Neutral,-0.420645256,Cat Sim Online Play with Cats,FAMILY,10014,5000000+,Mature,4.744932128,4.56
121,NA,NA,4.61,Long,145,16,3.541102275,Negative,Negative,0.440141099,0.447269958,Negative,Negative,-0.305621972,Cat Sim Online Play with Cats,FAMILY,9740,5000000+,Mature,4.983606622,4.56
122,NA,NA,4.25,Long,93,15,3.259610532,Negative,Negative,-0.153682903,0.348409995,Negative,Negative,-0.381349715,Cat Sim Online Play with Cats,FAMILY,9637,5000000+,Mature,4.543294782,4.56
123,NA,NA,4.37,Long,246,41,3.035283052,Negative,Negative,-0.0484603,0.533129145,Negative,Negative,-0.212386206,Guns of Glory,GAME,4724,10000000+,Mature,5.509388337,4.73
124,NA,NA,4.5,Short,52,9,3.590108152,Negative,Negative,-0.769743674,0.468338644,Negative,Negative,0.661507292,Fuzzy Seasons Animal Forest,FAMILY,4809,100000+,Mature,3.970291914,4.42
125,43,Female,4.31,Short,28,6,3.630382587,Negative,Negative,0.015401816,0.429634488,Positive,Neutral,-0.024593955,Dragon Hills,GAME,156387,10000000+,Mature,3.36729583,4.45
126,NA,NA,4.43,Long,71,15,3.334181975,Negative,Negative,-0.336474276,0.470535581,Negative,Negative,-0.47802391,Cat Sim Online Play with Cats,FAMILY,9705,5000000+,Mature,4.276666119,4.56
127,NA,NA,4.38,Short,59,11,3.169770466,Negative,Negative,0.665127391,0.518663254,Negative,Negative,-0.10107321,Battlelands Royale,GAME,1230,1000000+,Mature,4.094344562,4.61
128,NA,NA,4.51,Short,73,12,3.338383358,Negative,Negative,0.283023121,0.516555903,Negative,Negative,0.190366656,Battlelands Royale,GAME,1411,1000000+,Mature,4.304065093,4.61
129,NA,NA,4.42,Short,32,6,3.97872852,Negative,Negative,0.58524259,0.302971184,Negative,Neutral,-0.09480036,Clash Royale,FAMILY,75745,100000000+,Mature,3.496507561,4.47
130,53,Male,4.45,Short,63,12,3.42653027,Negative,Negative,0.342771502,0.540493188,Negative,Negative,-0.438033698,Battlelands Royale,GAME,1313,1000000+,Mature,4.158883083,4.61
131,NA,NA,4.36,Short,73,12,3.428667443,Negative,Negative,-0.173545127,0.428643566,Negative,Negative,-0.04982597,Battlelands Royale,GAME,1419,1000000+,Mature,4.304065093,4.61
132,NA,NA,4.39,Long,185,31,2.938111493,Negative,Negative,0.095291167,0.552812751,Negative,Negative,0.492559168,Guns of Glory,GAME,4744,10000000+,Mature,5.225746674,4.73
133,NA,NA,4.45,Short,55,9,3.648954092,Positive,Positive,0.043134846,0.466001424,Positive,Positive,0.057152438,Hinge Dating Relationships,DATING,4695109,500000+,Everyone 10+,4.025351691,4.58
134,62,Male,4.44,Short,33,5,3.955689528,Positive,Neutral,0.212540199,0.345206808,Negative,Neutral,0.093452645,BLK Swipe Match Chat,DATING,27197,100000+,Everyone 10+,3.526360525,4.55
135,NA,NA,4.39,Short,28,6,3.760722419,Negative,Negative,-0.142338375,0.438024629,Negative,Neutral,0.083815989,Gay Sugar Daddy Dating Hookup ?Sudy Gay,DATING,35836,100000+,Everyone 10+,3.36729583,4.44
136,NA,NA,4.39,Short,71,12,3.506991354,Positive,Positive,0.204059029,0.566443034,Positive,Positive,-0.327878917,Hinge Dating Relationships,DATING,4795836,500000+,Everyone 10+,4.276666119,4.58
137,NA,NA,4.23,Long,155,20,3.211818721,Positive,Positive,0.085643424,0.746700814,Positive,Positive,0.512631983,Free Dating App YoCutie Flirt Chat Meet,DATING,781315905,1000000+,Everyone 10+,5.049856007,4.47
138,NA,NA,4.42,Short,2,3,4.426914311,Negative,Negative,0.004086033,0.550513465,Negative,Negative,-0.150507812,Dating for 50 plus Mature Singles ?FINALLY,DATING,7933,500000+,Everyone 10+,1.098612289,4.48
139,NA,NA,4.41,Short,34,5,4.225584565,Negative,Negative,0.445483221,0.397932189,Negative,Neutral,0.147522594,BLK Swipe Match Chat,DATING,26950,100000+,Everyone 10+,3.555348061,4.55
