"age","checkingStatus","creditAmountDollar","creditHistory","duration","employment","existingCredits","foreignWorker","housing","installmentCommitment","job","lamount","lamountPred","numDependents","otherParties","otherPaymentPlans","ownTelephone","personalStatus","propertyMagnitude","purpose","residenceSince","riskStatus","savingsStatus"
50,"<0",8102.43,"existing_paid",34.31,"4<=X<7",1,NA,"subsidized",4,"high_qualif_self_emp_mgmt",8.99991929566953,7.75182538906996,1,"no","none","yes","male_single","real_estate","education",NA,"low","<100"
53,"<0",6216.83,"no_credits_all_paid",44.11,"1<=X<4",2,"yes","subsidized",3,"skilled",8.73501540951716,7.9025249005207,2,"no","none","no","male_single","real_estate","furniture_equipment",NA,"low","<100"
36,"0<=X<200",7640.79,"delayed_previously",31.47,"4<=X<7",1,NA,"rent",4,"high_qualif_self_emp_mgmt",8.94125627995619,7.31957369230519,1,"no","none","yes","male_single","real_estate","business",NA,"low","100<=X<500"
68,"no_checking",5904.19,"existing_paid",34.48,"1<=X<4",2,"yes","rent",2,"skilled",8.68341754733431,7.32304847722539,1,"no","none","no","male_single","real_estate","new_car",NA,"high","no_known_savings"
45,"no_checking",7452.36,"critical_other_existing_credit",32.22,"4<=X<7",2,NA,"own",1,"high_qualif_self_emp_mgmt",8.91628603973337,7.52693571664799,2,"no","none","yes","male_single","real_estate","new_car",NA,"low","<100"
75,"<0",517.15,"critical_other_existing_credit",7.31,"unemployed",2,"yes","subsidized",2,"high_qualif_self_emp_mgmt",6.24833296782381,6.81247488864862,1,"no","none","yes","male_single","real_estate","used_car",NA,"high",NA
24,"0<=X<200",7267.57,"existing_paid",32.45,"4<=X<7",1,"yes","own",3,"skilled",8.89117726430959,7.68550652826956,1,"no","none","no","male_single","real_estate","new_car",NA,"low","100<=X<500"
39,"no_checking",15817.77,"all_paid",30.44,">=7",2,NA,"own",2,"high_qualif_self_emp_mgmt",9.66888927057663,7.52535946589751,2,"no","bank","yes","male_single","real_estate","new_car",4,"low","<100"
33,"0<=X<200",1593.5,"delayed_previously",12.12,"<1",1,NA,"own",1,"skilled",7.37368813385739,7.61123142604981,1,"no","none","no",NA,"real_estate","tv",NA,"high","<100"
31,"<0",15565.2,"existing_paid",30.58,">=7",1,NA,"own",4,"skilled",9.65279293213463,7.3321266760015,1,"no","none","no","male_single","real_estate","furniture_equipment",4,"high","no_known_savings"
36,"no_checking",15457.56,"critical_other_existing_credit",33.65,">=7",2,NA,"own",4,"skilled",9.64585348303606,7.35282740023443,1,"no","none","no","male_single","real_estate","business",NA,"high","no_known_savings"
33,">=200",1576.43,"no_credits_all_paid",23.91,"<1",2,"yes","own",2,"skilled",7.36291807584263,7.58832272378854,1,"no","none","no","male_div_sep","real_estate","business",NA,"high","<100"
42,"0<=X<200",5491.14,"existing_paid",28.49,"1<=X<4",1,NA,"subsidized",4,"skilled",8.61089116322047,7.77880928441181,1,"no","none","no","male_single","real_estate","education",NA,"low","<100"
44,"0<=X<200",5417.78,"delayed_previously",39.6,"1<=X<4",1,NA,"own",2,"unskilled_resident",8.59744141643118,7.44734135226057,2,"no","none","yes","male_single","real_estate","repairs",NA,"low","<100"
49,"no_checking",14278.16,"critical_other_existing_credit",27.49,">=7",1,"yes","rent",2,"skilled",9.56648637605089,7.32089070087909,1,"no","none","yes","male_single","real_estate","furniture_equipment",4,"high","no_known_savings"
38,"no_checking",14066.65,"critical_other_existing_credit",34.54,">=7",2,"yes","own",4,"high_qualif_self_emp_mgmt",9.55156202652117,7.66667584136687,1,"no","none","yes","male_single","real_estate","used_car",NA,"low",">=1000"
40,"0<=X<200",461.2,"existing_paid",NA,"unemployed",1,NA,"subsidized",3,"unemp_unskilled_non_res",6.1338317883949,6.81247488864862,1,"no","bank","yes","male_single","real_estate","other",NA,"high","no_known_savings"
36,"<0",13103.52,"critical_other_existing_credit",23.77,">=7",3,"yes","subsidized",2,"high_qualif_self_emp_mgmt",9.48063617538532,7.43787199465526,1,"no","none","yes","male_single","real_estate","new_car",NA,"low","<100"
74,"0<=X<200",12695.12,"all_paid",28.63,">=7",1,"yes","subsidized",2,NA,9.44897294663447,7.37808483133468,2,"no","bank","yes","female_div_dep_mar","real_estate","used_car",NA,"low","<100"
26,"no_checking",5910.6,"delayed_previously",28.25,"4<=X<7",2,NA,"own",3,"skilled",8.68450262808969,7.50280978078635,1,"no","none","no","male_single","real_estate","business",4,"low","<100"
31,"<0",5620.86,"existing_paid",29.73,"4<=X<7",1,NA,"own",2,"skilled",8.63423995609165,7.44715654148413,1,"co_applicant","none","yes","male_single","real_estate","new_car",NA,"low","<100"
24,"no_checking",5615.03,"existing_paid",26.97,"4<=X<7",1,NA,"rent",2,"unskilled_resident",8.63320220998997,7.56203914671566,1,"no","stores","no","female_div_dep_mar","real_estate","used_car",NA,"high","no_known_savings"
26,"<0",5592.69,"existing_paid",24.58,"4<=X<7",1,NA,"own",4,"skilled",8.6292156668596,7.7231357549319,2,"no","none","no","male_single","real_estate","used_car",NA,"low","<100"
40,"no_checking",4037.14,"existing_paid",21.15,"1<=X<4",1,"yes","own",3,"high_qualif_self_emp_mgmt",8.30329179946887,7.29836085354801,1,"no","none","yes","male_single","real_estate","education",NA,"low","100<=X<500"
24,"<0",11454.21,"no_credits_all_paid",27.22,">=7",2,"yes","subsidized",3,"skilled",9.34611262699212,7.90015367809205,2,"no","none","no","male_single","real_estate","used_car",NA,"low","<100"
54,"no_checking",4009.19,"existing_paid",19.09,"1<=X<4",3,NA,"own",2,"high_qualif_self_emp_mgmt",8.29634450488441,7.51161623701577,1,"no","none","yes","male_single","real_estate","business",NA,"low",">=1000"
32,"<0",4002.21,"no_credits_all_paid",21.74,"1<=X<4",2,NA,"own",2,"skilled",8.2946019875301,7.5514133393225,1,"guarantor","none","no","male_div_sep","real_estate","furniture_equipment",NA,"low","<100"
74,"no_checking",3952.43,"critical_other_existing_credit",22.02,"1<=X<4",1,NA,"own",3,"high_qualif_self_emp_mgmt",8.28208585861687,7.47337468100664,1,"no","none","yes","male_single","real_estate","business",NA,"low","<100"
34,"no_checking",3889.55,"delayed_previously",19.47,"1<=X<4",2,NA,"own",4,"skilled",8.26604874868697,7.70214656303846,1,"no","none","no","female_div_dep_mar","real_estate","tv",NA,"low","<100"
23,"<0",3738.48,"critical_other_existing_credit",19.14,"1<=X<4",2,NA,"own",1,"skilled",8.22643439068646,7.70131942440302,1,"no","none","no","female_div_dep_mar","real_estate","furniture_equipment",NA,"low","500<=X<1000"
24,"<0",10662.31,"critical_other_existing_credit",22.17,">=7",2,"yes","own",1,"skilled",9.27447037218044,7.44549708830989,1,"no","none","no","female_div_dep_mar","real_estate","furniture_equipment",NA,"low","<100"
28,"0<=X<200",3686.08,"no_credits_all_paid",19.96,"1<=X<4",2,"yes","own",2,"skilled",8.21231884173814,7.69465167748744,1,"no","none","no","female_div_dep_mar","real_estate","business",1,"low","<100"
26,">=200",3676.48,"existing_paid",20.49,"1<=X<4",1,NA,"own",4,"skilled",8.209711051665,7.20167684031849,1,"no","none","no","male_single","real_estate","tv",NA,"low","<100"
28,"<0",3640.67,"existing_paid",17.45,"1<=X<4",1,"yes","own",4,"skilled",8.1999230096268,7.17091780497355,1,"no","none","no","male_single","real_estate","furniture_equipment",4,"low","<100"
27,"no_checking",3614.47,"critical_other_existing_credit",15.68,"1<=X<4",2,NA,"own",3,"unskilled_resident",8.19270051250274,7.44426017762285,1,"no","none","yes","male_single","real_estate","business",NA,"low","100<=X<500"
23,"<0",10276.06,"no_credits_all_paid",25.29,">=7",2,NA,"rent",3,"skilled",9.23757219706053,7.32610644478999,2,"no","bank","no","male_single","real_estate","furniture_equipment",4,"low","<100"
45,"<0",3498.33,"existing_paid",23.62,"1<=X<4",1,NA,"own",3,"unskilled_resident",8.16004099075149,7.43137911840165,1,"no","none","no","male_single","real_estate","new_car",NA,"low","<100"
33,"<0",9932.14,"critical_other_existing_credit",17.85,">=7",3,NA,"rent",1,"skilled",9.2035312423805,7.43390825270556,1,"no","bank","yes","female_div_dep_mar","real_estate","new_car",NA,"low","<100"
29,"<0",3457.29,"existing_paid",19.25,"1<=X<4",1,NA,"own",3,"skilled",8.1482403241672,7.19472373312542,1,"no","none","yes","female_div_dep_mar","real_estate","new_car",NA,"low","<100"
46,"<0",4746.39,"existing_paid",15.65,"4<=X<7",1,"yes","subsidized",4,"skilled",8.46513960808228,7.60018114966775,2,"no","none","no","male_single","real_estate","new_car",NA,"low","<100"
38,"no_checking",3417.99,"existing_paid",22.44,"1<=X<4",1,NA,"own",4,"skilled",8.13680793798372,7.53360366206005,1,"no","bank","no","male_div_sep","real_estate","business",NA,"high","no_known_savings"
27,"no_checking",4664.88,"critical_other_existing_credit",13.17,"4<=X<7",2,NA,"own",3,"skilled",8.44781738947792,7.45063130553777,1,"no","none","no","male_single","real_estate","used_car",NA,"low","<100"
23,"no_checking",1167.78,"existing_paid",12.02,"<1",1,"yes","own",1,"skilled",7.06285978948254,7.64240617186919,1,"no","none","yes","female_div_dep_mar","real_estate","used_car",NA,"high","100<=X<500"
24,"<0",4577.02,"existing_paid",20.89,"4<=X<7",1,NA,"own",2,"unskilled_resident",8.42880341031855,7.36648570880023,1,"co_applicant","none","no","male_single","real_estate","new_car",2,"high","no_known_savings"
28,"<0",3196.18,"existing_paid",15.88,"1<=X<4",1,NA,"own",2,"skilled",8.06971162570073,7.24755653670844,1,"no","none","no","female_div_dep_mar","real_estate","tv",NA,"low","<100"
57,"<0",9108.21,"existing_paid",17.15,">=7",2,"yes","rent",4,"skilled",9.11693148357132,7.38418480477859,1,"no","none","yes","female_div_dep_mar","real_estate","furniture_equipment",NA,"low",">=1000"
40,"0<=X<200",368.47,"critical_other_existing_credit",1.72,"unemployed",3,NA,"own",3,"unemp_unskilled_non_res",5.90935929718914,6.81247488864862,2,"no","none","yes","male_mar_wid","real_estate","business",NA,"high","<100"
29,"<0",3135.05,"existing_paid",17.82,"1<=X<4",1,"yes","own",2,"unskilled_resident",8.05040040190316,7.28439976975722,2,"co_applicant","none","no","male_single","real_estate","furniture_equipment",NA,"low","<100"
37,"no_checking",1121.82,"critical_other_existing_credit",13.74,"<1",2,"yes","own",2,"unskilled_resident",7.02270764540524,7.26964657151941,2,"no","none","no","male_single","real_estate","education",NA,"high","no_known_savings"
29,"no_checking",3105.36,"existing_paid",13.57,"1<=X<4",1,"yes","own",3,"skilled",8.04088492967581,7.23516395475521,1,"no","none","no","male_single","real_estate","new_car",NA,"high","no_known_savings"
27,"<0",4362.47,"all_paid",16.13,"4<=X<7",1,"yes","own",3,"skilled",8.38079368969621,7.37366170601066,1,"no","bank","no","male_single","real_estate","furniture_equipment",NA,"low","<100"
38,"0<=X<200",4321.56,"existing_paid",15.01,"4<=X<7",2,NA,"own",2,"skilled",8.37137172716434,7.62307924435944,1,"no","bank","yes","male_single","real_estate","new_car",NA,"low","100<=X<500"
34,"0<=X<200",3052.96,"all_paid",18.5,"1<=X<4",1,NA,"own",4,"skilled",8.02386689078203,7.43557782037428,2,"no","stores","yes","male_single","real_estate","furniture_equipment",NA,"low",">=1000"
74,"no_checking",4255.94,"existing_paid",15.92,"4<=X<7",1,NA,"own",1,"unskilled_resident",8.35607093317775,7.20479524425002,1,"no","none","no","male_single","real_estate","business",NA,"low","<100"
21,"0<=X<200",3004.93,"existing_paid",20.11,"1<=X<4",1,NA,"rent",2,"skilled",8.00800955218883,7.64723154107929,1,"co_applicant","none","no","female_div_dep_mar","real_estate","furniture_equipment",NA,"low","100<=X<500"
27,"<0",2983.1,"existing_paid",12.49,"1<=X<4",1,"yes","own",3,"high_qualif_self_emp_mgmt",8.00071830725155,7.27360744495011,1,"no","none","no","male_single","real_estate","tv",NA,"low","<100"
26,"<0",1093.09,"delayed_previously",15.61,"<1",2,"yes","own",2,"skilled",6.9967638269641,7.3848438726481,1,"no","none","no","male_single","real_estate","education",NA,"high","<100"
65,"<0",357.17,"critical_other_existing_credit",9.47,"unemployed",2,NA,"own",4,"unemp_unskilled_non_res",5.87821185891312,6.81247488864862,1,"co_applicant","none","no","male_single","real_estate","repairs",NA,"high","<100"
37,"no_checking",4186,"critical_other_existing_credit",15.22,"4<=X<7",1,NA,"own",1,"skilled",8.33950090300594,7.20635902471688,2,"no","none","no","female_div_dep_mar","real_estate","new_car",NA,"low","<100"
30,"<0",1080.57,"all_paid",14.18,"<1",1,NA,"subsidized",4,"skilled",6.98524395867034,7.42537975499364,2,"no","none","yes","male_single","real_estate","furniture_equipment",NA,"high","500<=X<1000"
51,"no_checking",8434.95,"critical_other_existing_credit",13.63,">=7",1,NA,"own",4,"skilled",9.04013906728022,7.57884530671605,1,"no","none","yes","male_single","real_estate","tv",NA,"high","no_known_savings"
23,"<0",1058.18,"existing_paid",9.84,"<1",1,NA,"rent",4,"unskilled_resident",6.96430573027252,7.18673912721894,NA,"no","none","yes","female_div_dep_mar","real_estate","furniture_equipment",NA,"high","<100"
25,"0<=X<200",1054.05,"existing_paid",15.98,"<1",1,"yes","rent",1,"skilled",6.96039516630632,7.21597850899664,1,"no","none","no","male_mar_wid","real_estate","tv",NA,"high","500<=X<1000"
31,"<0",2760.41,"all_paid",17,"1<=X<4",1,"yes","rent",4,"skilled",7.92313449840327,7.21641124315681,1,"no","none","yes","male_single","real_estate","business",NA,"low","<100"
41,"no_checking",7995.96,"existing_paid",13.68,">=7",1,NA,"own",4,"skilled",8.98669169310653,7.11451852968682,1,"no","none","yes","male_single","real_estate","tv",NA,"high","no_known_savings"
31,">=200",2749.06,"critical_other_existing_credit",20.47,"1<=X<4",2,"yes","own",3,"skilled",7.91901431404565,7.35599914835515,1,"no","none","yes","male_single","real_estate","tv",NA,"high","no_known_savings"
31,"<0",1033.27,"existing_paid",5.22,"<1",1,"yes","own",2,"unskilled_resident",6.94048380960422,7.48814427074598,1,"no","none","no","male_div_sep","real_estate","furniture_equipment",NA,"high","<100"
25,"no_checking",1032.67,"existing_paid",4.33,"<1",2,NA,"own",4,"skilled",6.93990296019246,7.13642944680434,1,"no","none","no","male_single","real_estate","tv",NA,"high","no_known_savings"
22,"0<=X<200",1030.08,"existing_paid",7.02,"<1",1,NA,"rent",3,"skilled",6.93739174811044,7.459773245316,1,"no","none","yes","male_mar_wid","real_estate","tv",2,"high","100<=X<500"
36,"no_checking",2688.81,"existing_paid",13.9,"1<=X<4",1,"yes","own",4,"skilled",7.89685399553519,7.2521031026111,1,"no","none","no","male_single","real_estate","new_car",4,"high","no_known_savings"
52,"no_checking",2687.06,"existing_paid",16.63,"1<=X<4",1,NA,"own",2,"skilled",7.89620293810195,7.29440398186524,1,"no","none","yes","male_single","real_estate","tv",NA,"low","<100"
33,"no_checking",2684.44,"critical_other_existing_credit",13.18,"1<=X<4",2,NA,"own",1,"skilled",7.89522741908202,7.19628267491662,2,"no","none","no","male_single","real_estate","tv",NA,"high","no_known_savings"
32,"no_checking",7759.1,"existing_paid",12.36,">=7",1,NA,"rent",4,"skilled",8.95662162706969,7.41673657298671,NA,"no","none","yes","male_single","real_estate","furniture_equipment",NA,"low","500<=X<1000"
21,"0<=X<200",2646.89,"existing_paid",13.7,"1<=X<4",1,NA,"rent",4,"skilled",7.88114064488457,7.73796237952409,1,"guarantor","none","no","male_single","real_estate","tv",NA,"low","100<=X<500"
24,"<0",2638.16,"existing_paid",21.41,"1<=X<4",1,NA,"rent",NA,"unskilled_resident",7.8778369834471,7.44856743884202,1,"no","none","no","male_div_sep","real_estate","furniture_equipment",NA,"low","<100"
34,"0<=X<200",1015.03,"existing_paid",8.11,"<1",1,"yes","rent",3,"high_qualif_self_emp_mgmt",6.92267344768934,7.0363231392585,1,"no","none","no","female_div_dep_mar","real_estate","furniture_equipment",NA,"high","<100"
63,"<0",7504.95,"critical_other_existing_credit",13.8,">=7",2,NA,"own",4,"skilled",8.92331808182019,7.52076136800555,1,"no","none","yes","male_single","real_estate","used_car",NA,"low","<100"
28,">=200",2552.57,"existing_paid",11.03,"1<=X<4",1,NA,"own",1,"high_qualif_self_emp_mgmt",7.84485597375681,7.48552988371424,1,"no","bank","yes","female_div_dep_mar","real_estate","new_car",NA,"low","100<=X<500"
34,"<0",3695.75,"existing_paid",16.26,"4<=X<7",1,NA,"subsidized",2,"high_qualif_self_emp_mgmt",8.2149387897812,7.70040191634238,1,"no","none","yes","male_single","real_estate","used_car",NA,"low","<100"
53,"no_checking",7209.13,"existing_paid",20.53,">=7",1,NA,"own",3,"skilled",8.88310355725627,7.46162150150418,1,"no","none","no","male_single","real_estate","furniture_equipment",NA,"low","500<=X<1000"
33,"no_checking",2472.23,"critical_other_existing_credit",11.32,"1<=X<4",1,NA,"own",4,"skilled",7.81287585632063,7.31963568052765,1,"no","none","yes","female_div_dep_mar","real_estate","tv",NA,"low","<100"
34,"0<=X<200",3605.72,"critical_other_existing_credit",12.17,"4<=X<7",2,NA,"own",4,"skilled",8.19027675238463,7.44123204141619,NA,"no","none","yes","male_single","real_estate","business",NA,"high","no_known_savings"
27,"0<=X<200",974.77,"critical_other_existing_credit",12,"<1",2,"yes","own",4,"skilled",6.88220154573377,7.24665299695266,1,"no","none","no","male_div_sep","real_estate","new_car",NA,"high","<100"
26,"<0",7153.3,"existing_paid",14.47,">=7",1,"yes","rent",2,"skilled",8.87532906767348,NA,1,"no","none","no","female_div_dep_mar","real_estate","used_car",NA,"high","no_known_savings"
36,"<0",2444.29,"critical_other_existing_credit",16.97,"1<=X<4",2,NA,"rent",2,"skilled",7.80150997119,7.10212322764201,2,"no","none","no","male_single","real_estate","new_car",NA,"low","<100"
31,"no_checking",2429.44,"existing_paid",NA,NA,1,NA,"own",1,"high_qualif_self_emp_mgmt",7.7954160571014,7.51207066876467,1,"no","bank","no","female_div_dep_mar","real_estate","new_car",NA,NA,"500<=X<1000"
31,"no_checking",3552.54,"critical_other_existing_credit",14,"4<=X<7",2,"yes","own",2,"skilled",8.17541811958415,7.23671596232911,1,"no","bank","no","male_single","real_estate","new_car",NA,"low","<100"
36,"0<=X<200",7026.99,"existing_paid",12.14,">=7",1,NA,"subsidized",4,"skilled",8.85751372810879,7.50719268845406,1,"no","bank","yes","male_single","real_estate","used_car",NA,"high","no_known_savings"
29,"no_checking",6985.67,"critical_other_existing_credit",12.95,">=7",2,NA,"own",4,"skilled",8.85161618691925,7.18104795954133,1,"no","none","no","male_single","real_estate","tv",NA,"low","<100"
35,"0<=X<200",3502.42,"critical_other_existing_credit",17.96,"4<=X<7",3,"yes","own",4,"skilled",8.16120943712233,7.10823333766248,1,"guarantor","bank","yes","male_single","real_estate","tv",NA,"high","no_known_savings"
41,"<0",6910.3,"existing_paid",16.78,">=7",1,NA,"own",2,"skilled",8.84076833115938,7.79706649794738,2,"no","bank","no","male_single","real_estate","furniture_equipment",NA,"low","<100"
40,"no_checking",6820.28,"existing_paid",15.31,">=7",1,"yes","own",3,"skilled",8.82765580571322,7.33162789976873,1,"no","none","no","male_single","real_estate","tv",NA,"low","500<=X<1000"
32,"no_checking",3431.78,"existing_paid",14.24,"4<=X<7",1,NA,"own",4,"skilled",8.14083435598909,7.03330165125567,1,"no","none","no","male_single","real_estate","new_car",NA,"high","no_known_savings"
29,"0<=X<200",2295.83,"delayed_previously",11.61,"1<=X<4",2,NA,"own",2,"skilled",7.73884971288638,7.56048962751302,1,"no","bank","yes","male_single","real_estate","other",NA,"low","<100"
41,"no_checking",924.17,"delayed_previously",15.83,"<1",1,"yes","own",4,"unskilled_resident",6.82889603740293,7.06420104107616,2,"no","bank","no","male_single","real_estate","business",NA,"high","500<=X<1000"
47,"no_checking",6486.5,"delayed_previously",13.71,">=7",2,NA,"own",4,"unskilled_resident",8.77747837301107,7.1653198342192,2,"no","none","no","male_single","real_estate","new_car",NA,"low","<100"
23,"0<=X<200",2200.65,"critical_other_existing_credit",7.6,"1<=X<4",2,"yes","own",4,"unskilled_resident",7.69650805025376,7.09957954447396,1,"no","none","no","male_single","real_estate","tv",NA,"low","500<=X<1000"
43,"no_checking",2196.28,"existing_paid",13.02,"1<=X<4",1,NA,"own",3,"skilled",7.69452029905514,7.24816632370945,1,"no","none","yes","male_single","real_estate","furniture_equipment",NA,"low","<100"
23,"<0",302.2,"existing_paid",7.32,"unemployed",1,"yes","rent",1,"skilled",5.71108904983864,6.81247488864862,1,"no","none","no","female_div_dep_mar","real_estate","new_car",NA,"high","<100"
43,"<0",6252.11,"critical_other_existing_credit",13.27,">=7",4,NA,"own",4,"high_qualif_self_emp_mgmt",8.74067428575639,7.47555372974514,2,"no","stores","yes","male_single","real_estate","business",NA,"low","<100"
35,"<0",893.56,"existing_paid",9.46,"<1",1,"yes","own",4,"skilled",6.79521348399572,7.24409261341939,1,"no","none","yes","female_div_dep_mar","real_estate","tv",4,"high","<100"
31,"no_checking",295.13,"critical_other_existing_credit",6.67,"unemployed",1,NA,"own",2,"high_qualif_self_emp_mgmt",5.6874159372359,6.81247488864862,1,"no","none","no","male_single","real_estate","furniture_equipment",NA,"high","<100"
50,"no_checking",6124.98,"existing_paid",6.06,">=7",1,NA,"own",4,"skilled",8.72013077010147,7.15152449627151,1,"no","none","yes","male_single","real_estate","new_car",NA,"high","no_known_savings"
27,"<0",882.53,"existing_paid",NA,"<1",1,NA,"own",4,"skilled",6.78279278256394,7.00545397160687,1,"no","stores","no","female_div_dep_mar","real_estate","tv",NA,"high","<100"
64,"<0",6110.3,"existing_paid",10.83,">=7",1,NA,"rent",4,"unskilled_resident",8.71773115079662,6.93216349490911,1,"no","bank","no","male_single","real_estate","tv",NA,"low","<100"
44,"no_checking",2074.02,"delayed_previously",11.37,"1<=X<4",2,"yes","own",4,"skilled",7.63724403194452,7.46849488544114,2,"no","none","yes","male_single","real_estate","business",NA,"low","500<=X<1000"
36,">=200",2060.92,"critical_other_existing_credit",6.65,"1<=X<4",1,NA,"own",2,"skilled",7.63090776402841,7.48520637458842,1,"no","none","yes","male_single","real_estate","used_car",NA,"low","500<=X<1000"
33,"<0",291.91,"existing_paid",NA,"unemployed",1,NA,"own",1,"skilled",5.67644553558091,6.81247488864862,1,"no","none","no","male_div_sep","real_estate","furniture_equipment",NA,"high","100<=X<500"
35,"no_checking",3089.31,"critical_other_existing_credit",15.42,"4<=X<7",2,"yes","own",4,"skilled",8.03570304398554,7.52825249116404,1,"no","none","yes","male_single","real_estate","used_car",NA,"low","<100"
36,"0<=X<200",5995.27,"critical_other_existing_credit",13.64,">=7",1,NA,"own",4,"skilled",8.69872610397873,7.24629991476263,1,"no","none","no","male_single","real_estate","tv",NA,"low","<100"
29,"0<=X<200",870.07,"delayed_previously",5.15,"<1",1,"yes","own",4,"unskilled_resident",6.76857366818203,7.14885998644708,1,"no","bank","no","male_single","real_estate","furniture_equipment",NA,"high","no_known_savings"
25,">=200",868.73,"existing_paid",7.56,"<1",1,NA,"own",2,"unskilled_resident",6.76703237503127,7.06843037145324,1,"no","none","no","female_div_dep_mar","real_estate","tv",NA,"high","<100"
39,"no_checking",5902.19,"existing_paid",12.59,">=7",1,NA,"own",4,"skilled",8.68307874746184,7.34021896797237,1,NA,"none","no","male_single","real_estate","tv",NA,"low","500<=X<1000"
28,"no_checking",3021.23,"existing_paid",12.21,"4<=X<7",1,"yes","own",4,"skilled",8.0134193122192,7.23768940808931,1,"no","none","yes","male_single","real_estate","tv",2,"low","<100"
32,"0<=X<200",3009.12,"existing_paid",17.89,"4<=X<7",2,NA,"own",3,"skilled",8.00940295619377,7.38711706329303,2,"no","none","no","male_single","real_estate","education",NA,"low","<100"
54,"no_checking",852.52,"existing_paid",14.89,"<1",1,NA,"own",4,"skilled",6.74819666929304,7.16877474122311,1,"no","none","no","male_single","real_estate","new_car",NA,"high","no_known_savings"
